학년도,학기,소속,학과,과목번호,분반,과목명,강의계획서,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,Honors과목,공학인증,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2024 학년도,하계학기,대학,아트&테크놀로지학과,AAT3021,01,나노디그리심화워크숍(메타버스),,,[X513],,최용순,2,,,,,,,,,,전학년,1-4학년,,,특강 시간은 추후 지융미 홈페이지에 공지 예정
2024 학년도,하계학기,대학,아트&테크놀로지학과,AAT4012,01,Internship,,3.0,"월,화,수,목,금 09:00~11:45 [X427]",6.0,최용순,3,,,,,,,,,,전학년,1-4학년,,과목평가:S/U,현장실습과목
2024 학년도,하계학기,대학,생명과학과,BIO4100,01,생명과학현장실습,조회,3.0,,,"Lee, Hosuk Sean",1,O,,O,,,,,,,전학년,3-4학년,,"과목평가:S/U, (구)생명과학인턴쉽","3~4학년 대상 현장실습과목,자연과학부행정팀(R209호)에 수강신청"
2024 학년도,하계학기,대학,화공생명공학과,CBE4100,01,인턴쉽I,,3.0,,,하경수,1,,,O,,,,,,,전학년,3-4학년,,과목평가:S/U,수강승인: 학과에 문의
2024 학년도,하계학기,대학,화학과,CHM1001,01,일반화학I,조회,3.0,"월,화,수,목,금 13:00~15:45 [K201]",6.0,유수련,44,,,,,,,,,,전학년,1학년,,,
2024 학년도,하계학기,대학,화학과,CHM4056,01,화학현장실습I,조회,3.0,,,서원석,1,,,O,,,,,,,전학년,3-4학년,,"과목평가:S/U, (구)화학산업과인턴쉽1","3~4학년 대상 현장실습과목,자연과학부행정팀(R209호)에 수강신청"
2024 학년도,하계학기,대학,전인교육원,CHS2002,01,현대한국의형성,조회,3.0,"월,화,수,목,금 13:00~15:45 [K404]",6.0,정선용,12,,,,,,,,,,전학년,1-2학년,,,
2024 학년도,하계학기,대학,전인교육원,COR1003,01,영어글로벌의사소통I,조회,3.0,"월,화,수,목,금 09:00~11:45",6.0,"Willers, Arthur Gregory",19,O,,,,,,,,,전학년,1학년,,"구 영어I, 신입생 대다수의 학생이 대상",비대면(실시간)
2024 학년도,하계학기,대학,전인교육원,COR1003,02,영어글로벌의사소통I,조회,3.0,"월,화,수,목,금 13:00~15:45",6.0,"Willers, Arthur Gregory",15,O,,,,,,,,,전학년,1학년,,"구 영어I, 신입생 대다수의 학생이 대상",비대면(실시간)
2024 학년도,하계학기,대학,전인교육원,COR1010,01,기초인공지능프로그래밍,조회,3.0,"월,화,수,목,금 13:00~15:45 [D105]",6.0,권미수,66,,,,,,,,,,전학년,1학년,,컴퓨팅사고력(COR1009) 대체과목,
2024 학년도,하계학기,대학,전인교육원,COR1010,02,기초인공지능프로그래밍,조회,3.0,"월,화,수,목,금 13:00~15:45 [D104B]",6.0,강은숙,55,,,,,,,,,,전학년,1학년,,컴퓨팅사고력(COR1009) 대체과목,
2024 학년도,하계학기,대학,전인교육원,COR1012,01,인문사회글쓰기,조회,3.0,"월,화,수,목,금 09:00~11:45 [J327]",6.0,이해진,24,,,,,,,,,,전학년,1학년,,읽기와쓰기(COR1001)의 대체과목,
2024 학년도,하계학기,대학,전인교육원,COR1012,02,인문사회글쓰기,조회,3.0,"월,화,수,목,금 13:00~15:45 [J327]",6.0,엄미옥,23,,,,,,,,,,전학년,1학년,,읽기와쓰기(COR1001)의 대체과목,
2024 학년도,하계학기,대학,전인교육원,COR1013,01,자연계글쓰기,조회,3.0,"월,화,수,목,금 09:00~11:45 [K406]",6.0,권미란,26,,,,,,,,,,전학년,1학년,,읽기와쓰기(COR1001)의 대체과목,
2024 학년도,하계학기,대학,전인교육원,COR1013,02,자연계글쓰기,조회,3.0,"월,화,수,목,금 13:00~15:45 [K406]",6.0,송혜란,23,,,,,,,,,,전학년,1학년,,읽기와쓰기(COR1001)의 대체과목,
