학년도,학기,소속,학과,과목번호,분반,과목명,강의계획서,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,Honors과목,공학인증,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2023 학년도,동계학기,대학,경영학부(경영학전공),MGT2002,01,경영통계학,조회,3.0,"월,화,수,목,금 13:00~15:45 [MA204]",6.0,정예숙,30,,,,,,,,,,전학년,1학년,"수학과,컴퓨터공학과(불가능)","수학,컴공전공자,통계학입문수강자 불가(통계학입문,경제통계학으로대체가능)",
2023 학년도,동계학기,대학,경영학부(경영학전공),MGT2003,01,회계학원론,조회,3.0,"월,화,수,목,금 09:00~11:45 [MA204]",6.0,천준범,31,,,,,,,,,,전학년,1-2학년,,,
2023 학년도,동계학기,대학,경영학부(경영학전공),MGT4102,01,경영전략,조회,3.0,"월,화,수,목,금 13:00~15:45 [PA101]",6.0,이승혜,62,,,,,,,,,,전학년,2-4학년,,,
2023 학년도,동계학기,대학,경영학부(경영학전공),MGT4510,01,국제마케팅론,조회,3.0,"월,화,수,목,금 09:00~11:45 [PA201]",6.0,김도의,57,,,,,,,,,,전학년,2-4학년,,,
2023 학년도,동계학기,대학,경영학부(경영학전공),MGT4705,01,경영학현장실습,,3.0,,,정유신,23,,,O,,,,,,,전학년,3-4학년,,"수강승인과목, 성적평가:S/U, (구)경영인턴",
2023 학년도,동계학기,대학,철학과,PHI2001,01,철학개론,조회,3.0,"월,화,수,목,금 09:00~11:45 [J327]",6.0,류희성,11,,,,,,,,,,전학년,2-4학년,,,
2023 학년도,동계학기,대학,철학과,PHI2005,01,논리학개론,조회,3.0,"월,화,수,목,금 13:00~15:45 [J313]",6.0,오은영,23,,,,,,,,,,전학년,2-4학년,,,
2023 학년도,동계학기,대학,물리학과,PHY3510,01,물리현장실습,,3.0,,,유효빈,1,,,O,,,,,,,,3-4학년,,"과목평가:S/U, (구)물리인턴쉽","3~4학년 대상 현장실습과목,
자연과학부행정팀(R209호)에서 수강신청"
2023 학년도,동계학기,대학,전인교육원,SHS2007,01,생활속의심리학,조회,3.0,"월,화,수,목,금 09:00~11:45 [K305]",6.0,강재연,42,,,,,,,,,,전학년,1-4학년,,,
2023 학년도,동계학기,대학,사회학과,SOC2001,01,사회학개론,조회,3.0,"월,화,수,목,금 13:00~15:45 [K306]",6.0,민병교,26,,,,,,,,,,전학년,1-4학년,,,
2023 학년도,동계학기,대학,사회학과,SOC4011,01,사회학현장실습,,3.0,,,오세일,1,,,O,,,,,,,전학년,3-4학년,,,현장실습과목
2023 학년도,동계학기,대학,스포츠미디어 연계전공,SPM3106,01,체력트레이닝,조회,2.0,"월,화,수,목,금 09:00~11:45",6.0,소위영,21,,,,,,,,,,전학년,1-4학년,,장소:체육관(705-8207),"실기수업(체육관 방음실, 헬스장 등 사용)"
2023 학년도,동계학기,대학,전인교육원,STS2004,01,대학수학,조회,3.0,"월,화,수,목,금 09:00~11:45 [K212]",6.0,유지현,23,,,,,,,,,,전학년,1학년,"자연과학대학,공과대학(1전공 불가능)","자연과학대학,공과대학 1전공자 수강불가/ANT2020의 대체과목",
2023 학년도,동계학기,대학,전인교육원,STS2005,01,미적분학I,조회,3.0,"월,화,수,목,금 13:00~15:45 [K305]",6.0,조성희,46,,,,,,,,,,전학년,1학년,,,
2023 학년도,동계학기,대학,전인교육원,STS2006,01,미적분학II,조회,3.0,"월,화,수,목,금 13:00~15:45 [K303]",6.0,한상현,53,,,,,,,,,,전학년,1학년,,,
2023 학년도,동계학기,대학,융합교육원,STS2008,01,고급응용C프로그래밍,조회,3.0,"월,화,수,목,금 09:00~11:45 [D104B]",6.0,나미향,30,,,,,,,,,,전학년,2학년,컴퓨터공학과(1전공 불가능),"(구)C언어[C프로그래밍수강자,컴공1전공수강불가]/STS2007 대체과목",
2023 학년도,동계학기,대학,전인교육원,STS2010,01,과학사,조회,3.0,"월,화,수,목,금 09:00~11:45 [K301]",6.0,이정희,32,,,,,,,,,,전학년,1-2학년,,,
2023 학년도,동계학기,대학,전인교육원,TLS1002,01,비평적글쓰기연습,조회,3.0,"월,화,수,목,금 13:00~15:45 [J217]",6.0,박진혁,22,,,,,,,,,,전학년,1-4학년,,계열별글쓰기(COR1002)의 대체과목,구 <계열별글쓰기>(COR1002) 대체 과목
2023 학년도,동계학기,대학,전인교육원,TLS1004,01,영어글로벌의사소통II,조회,3.0,"월,화,수,목,금 09:00~11:45 [J217]",6.0,이주영,20,O,,,,,,,,,전학년,1학년,,영어II(고급)(COR1006)의 대체과목/영어II(COR1004)의 대체과목,
