학년도,학기,소속,학과,과목번호,분반,과목명,강의계획서,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,Honors과목,공학인증,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2023 학년도,1학기,대학,아트&테크놀로지학과,AATG104,01,Media Aesthetics,조회,3.0,화 13:30~16:15 [X429],3.0,주진호,28,,,,,,,,,,"3,4학년",3-4학년,,"AAT3001(구,ANT2001)의 대체과목, 전공필수대체과목(2015-","학석사연계과목, 수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한"
2023 학년도,1학기,대학,아트&테크놀로지학과,AATG800,01,Creative Entrepreneurship,조회,3.0,목 13:30~16:15 [X427],3.0,이용덕,8,,,,,,,,,,"3,4학년",3-4학년,,"AAT3011의 대체과목, 전공필수대체과목(2015-2018학번)","학석사연계과목, 수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한"
2023 학년도,1학기,대학,인공지능학과,AIE2050,01,컴퓨터프로그래밍I,조회,3.0,"화,목 13:30~14:45 [D105]",3.0,이주호,14,O,,,,"[2,4,6,8,0]",,,,,1학년,1학년,인공지능학과(1전공 가능),,"""합반 : CSE2003-01
인공지능학 1전공자만 수강가능
(학번 끝자리가 짝수)"""
2023 학년도,1학기,대학,인공지능학과,AIE2050,02,컴퓨터프로그래밍I,조회,3.0,"화,목 15:00~16:15 [D105]",3.0,이주호,14,O,,,,"[1,3,5,7,9]",,,,,1학년,1학년,인공지능학과(1전공 가능),,"""합반 : CSE2003-02
인공지능학 1전공자만 수강가능
(학번 끝자리가 홀수)"""
2023 학년도,1학기,대학,인공지능학과,AIEG100,01,기초딥러닝,조회,3.0,"월,수 12:00~13:15 [K304]",3.0,낭종호,2,,,,,,,,,,4학년,3-4학년,,,"""학석사연계과목
합반 : CSEG463-01"""
2023 학년도,1학기,대학,인공지능학과,AIEG102,01,패턴인식,조회,3.0,"화,목 13:30~14:45 [AS414]",3.0,박운상,1,O,,,,,,,,,4학년,4학년,,,"""학석사연계과목
합반 : CSEG416-01"""
2023 학년도,1학기,대학,인공지능학과,AIEG107,01,음성인식,조회,3.0,"월,수 16:30~17:45 [K304]",3.0,김지환,2,,,,,,,,,,"3,4학년",3-4학년,,,"""학석사연계과목
합반 : CSEG311-01"""
2023 학년도,1학기,대학,미국문화전공,AMC2020,01,문화와글쓰기,조회,3.0,"수,금 13:30~14:45 [J202]",3.0,윤성오,17,O,,,,,,,,,전학년,1-4학년,,,"전학년 수강 가능, 교환학생 수강불가"
2023 학년도,1학기,대학,미국문화전공,AMC2031,01,미국학입문,조회,3.0,"월,수 10:30~11:45 [J207]",3.0,부경숙,12,O,,,,,,,,,1학년,1-4학년,,구 문화연구입문,1학년 수강 가능
2023 학년도,1학기,대학,미국문화전공,AMC2031,02,미국학입문,조회,3.0,"화,목 15:00~16:15 [J215]",3.0,박상기,12,O,,,,,,,,,"2,3,4학년",1-4학년,,구 문화연구입문,234학년 수강 가능
2023 학년도,1학기,대학,미국문화전공,AMC2033,01,미국문화사,조회,3.0,"화,목 10:30~11:45 [J327]",3.0,안학영,39,O,,,,,,,,,전학년,1-4학년,,구 미국역사와문화,전학년 수강 가능
2023 학년도,1학기,대학,미국문화전공,AMC3014,01,번역연습,조회,3.0,"월,수 16:30~17:45 [J215]",3.0,김혜진,18,O,,,,,,,,,"2,3,4학년",2-4학년,,구)AMC2014,"234학년 수강 가능, 교환학생 수강불가/디지털인문학연계전공 교과목"
2023 학년도,1학기,대학,미국문화전공,AMC3036,01,미국의아이콘들,조회,3.0,"월,수 12:00~13:15 [J207]",3.0,부경숙,22,O,,,,,,,,,"2,3,4학년",1-4학년,,,234학년 수강 가능
2023 학년도,1학기,대학,미국문화전공,AMC3050,01,미국영화장르연구,조회,3.0,"화,목 12:00~13:15 [J307]",3.0,"Hantke, Steffen Horst",36,O,,,,,,,,,"2,3,4학년",2-4학년,,,234학년 수강 가능
2023 학년도,1학기,대학,미국문화전공,AMC3065,01,세계속의미국문화,조회,3.0,"수,금 15:00~16:15 [J219]",3.0,윤성오,21,O,,,,,,,,,"2,3,4학년",2-4학년,,,234학년 수강 가능
2023 학년도,1학기,대학,미국문화전공,AMC3096,01,계층과미국문화,조회,3.0,"화,목 09:00~10:15 [J307]",3.0,"Hantke, Steffen Horst",19,O,,,,,,,,,"2,3,4학년",2-4학년,,구 대중문화연구,234학년 수강 가능
2023 학년도,1학기,대학,미국문화전공,AMC4125,01,인간과과학기술,조회,3.0,"화,목 13:30~14:45 [J219]",3.0,박상기,39,O,,,,,,O,,,"2,3,4학년",2-4학년,,,234학년 수강 가능/디지털인문학연계전공 교과목
2023 학년도,1학기,대학,미국문화전공,AMC4135,01,젠더세미나,조회,3.0,"화,목 16:30~17:45 [J215]",3.0,안학영,31,O,,,,,,O,,,"2,3,4학년",2-4학년,,,234학년 수강 가능
2023 학년도,1학기,대학,빅데이터사이언스연계전공,BDS3010,01,빅데이터컴퓨팅,조회,3.0,월 13:30~16:15 [D104],3.0,문현아,28,,,,,,,,,,"3,4학년",3-4학년,,,
2023 학년도,1학기,대학,생명과학과,BIO1101,01,일반생물학I,조회,3.0,"월,수 10:30~11:45 [K212]",3.0,김종찬,50,,,,,,,,,,전학년,1학년,생명과학과(1전공 불가능),,*생명과학 제1전공 수강불가
2023 학년도,1학기,대학,생명과학과,BIO1101,02,일반생물학I,조회,3.0,"월,수 12:00~13:15 [K405]",3.0,"Lee, Hosuk Sean",57,O,,,,,,,,,전학년,1학년,생명과학과(1전공 불가능),,*생명과학 제1전공 수강불가
2023 학년도,1학기,대학,생명과학과,BIO1101,03,일반생물학I,조회,3.0,"화,목 10:30~11:45 [K305]",3.0,주봉건,63,,,,,,,,,,전학년,1학년,생명과학과(1전공 가능),,*(생명전용반)생명과학 제1전공만 수강가능
