학년도,학기,소속,학과,과목번호,분반,과목명,강의계획서,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,Honors과목,공학인증,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2023 학년도,2학기,대학,아트&테크놀로지학과,AAT2002,01,Humanities & creativity,조회,3.0,월 13:30~16:15 [X514],3.0,정지수,28,O,,,,,,,,,전학년,1-4학년,,구) ANT2003,
2023 학년도,2학기,대학,아트&테크놀로지학과,AAT2003,01,Intro to Digital Arts,조회,3.0,월 13:30~16:15 [X513],3.0,이형기,34,O,,,,,,,,,"2,3,4학년",1-4학년,,구) ANT2004,
2023 학년도,2학기,대학,아트&테크놀로지학과,AAT2004,01,Intro to Creative Computing,조회,3.0,금 10:30~13:15 [X513],3.0,김지원,34,O,,,,,,,,,"2,3,4학년",1-4학년,,구) ANT2010,
2023 학년도,2학기,대학,아트&테크놀로지학과,AAT2005,01,Creative Capstone Project I(캡스톤디자인),조회,3.0,금 16:30~19:00 [X427],3.0,"최용순, 오준호, 주진호, 정다샘",15,,,,,,,,,,"3,4학년",3-4학년,,구) ANT4020,
2023 학년도,2학기,대학,아트&테크놀로지학과,AAT2006,01,Creative Capstone Project II(캡스톤디자인),조회,3.0,금 16:30~19:00 [X427],3.0,"최용순, 오준호, 주진호, 정다샘",9,,,,,,,,,,"3,4학년",3-4학년,,구) ANT4013,
2023 학년도,2학기,대학,아트&테크놀로지학과,AAT3005,01,Visual Design,조회,3.0,"화,목 13:30~14:45 [X427]",3.0,최용순,36,O,,,,,,,,,"2,3,4학년",1-2학년,,,
2023 학년도,2학기,대학,아트&테크놀로지학과,AAT3007,01,Network Media,조회,3.0,"수,금 09:00~10:15 [X513]",3.0,김지원,38,O,,,,,,,,,"2,3,4학년",2-4학년,,구)INTRO TO WEB DEVELOPMENT,
2023 학년도,2학기,대학,아트&테크놀로지학과,AAT3008,01,Creative Algorithms,조회,3.0,"화,목 10:30~11:45 [X513]",3.0,김주섭,29,O,,,,,,,,,"2,3,4학년",1-2학년,,,
2023 학년도,2학기,대학,아트&테크놀로지학과,AAT3009,01,Sound Production,조회,3.0,금 10:30~13:15 [X427],3.0,오예민,40,O,,,,,,,,,"2,3,4학년",3-4학년,,구)SOUND DESIGN,
2023 학년도,2학기,대학,아트&테크놀로지학과,AAT3010,01,Visual Story,조회,3.0,"화,목 16:30~17:45 [X429]",3.0,김상용,25,O,,,,,,,,,"2,3,4학년",1-2학년,,,
