학과,과목번호,과목명,학점,권장학년,수강신청 참조사항,과목 설명
인공지능학과,AIE4011,기초추천시스템,3.0,"[3, 4]",,
인공지능학과,AIE4012,기초컴퓨터그래픽스,3.0,"[3, 4]",,선수과목:STS2005
인공지능학과,AIE4050,시스템프로그래밍,3.0,[3],,
인공지능학과,AIE4051,컴퓨터아키텍쳐,3.0,[3],,선수과목:AIE3053
인공지능학과,AIE4052,컴퓨터 네트워크,3.0,[4],,구)기초컴퓨터네트워크
인공지능학과,AIE4055,데이터베이스시스템,3.0,[3],,
인공지능학과,AIEG100,기초딥러닝,3.0,"[3, 4]",,
인공지능학과,AIEG102,패턴인식,3.0,[4],,
인공지능학과,AIEG106,기초자연어처리,3.0,"[3, 4]",,
인공지능학과,AIEG107,음성인식,3.0,"[3, 4]",,
인공지능학과,AIEG109,오디오인식및합성변환,3.0,"[3, 4]",,
미국문화전공,AMC1011,전공진로설계Ⅰ,,"[1, 2, 3, 4]",,
미국문화전공,AMC2020,문화와글쓰기,3.0,"[1, 2, 3, 4]",,
미국문화전공,AMC2031,미국학입문,3.0,"[1, 2, 3, 4]",,구 문화연구입문
미국문화전공,AMC2033,미국문화사,3.0,"[1, 2, 3, 4]",,구 미국역사와문화
미국문화전공,AMC3014,번역연습,3.0,"[2, 3, 4]",,구)AMC2014
미국문화전공,AMC3035,아메리칸드림,3.0,"[2, 3, 4]",,
미국문화전공,AMC3036,미국의아이콘들,3.0,"[1, 2, 3, 4]",,
미국문화전공,AMC3037,미국영웅,3.0,"[2, 3, 4]",,
미국문화전공,AMC3040,대중음악,3.0,"[2, 3, 4]",,
미국문화전공,AMC3045,시각예술,3.0,"[2, 3, 4]",,전공필수대체과목(2015-2018학번)
미국문화전공,AMC3050,미국영화장르연구,3.0,"[2, 3, 4]",,
미국문화전공,AMC3055,미국영화주제연구,3.0,"[2, 3, 4]",,
미국문화전공,AMC3057,SF문학과영화,3.0,"[2, 3, 4]",,
미국문화전공,AMC3058,팬터지문학과영화,3.0,"[2, 3, 4]",,
미국문화전공,AMC3060,각색연구,3.0,"[2, 3, 4]",,
미국문화전공,AMC3065,세계속의미국문화,3.0,"[2, 3, 4]",,
미국문화전공,AMC3070,문화적정체성,3.0,"[2, 3, 4]",,
미국문화전공,AMC3073,미국고딕문화,3.0,"[2, 3, 4]",,
미국문화전공,AMC3075,미국의지역문화,3.0,"[2, 3, 4]",,
미국문화전공,AMC3077,미국서부,3.0,"[2, 3, 4]",,
미국문화전공,AMC3080,미국의다문화주의,3.0,"[2, 3, 4]",,
미국문화전공,AMC3090,젠더와미국문화,3.0,"[2, 3, 4]",,구 성의문화
미국문화전공,AMC3096,계층과미국문화,3.0,"[2, 3, 4]",,구 대중문화연구
미국문화전공,AMC3097,미국텔레비젼,3.0,"[2, 3, 4]",,구 전자매체
미국문화전공,AMC3098,미국문화특강I,3.0,"[2, 3, 4]",,
미국문화전공,AMC4099,논문세미나,3.0,[4],,미국문화전공Honors Program필수과목
미국문화전공,AMC4100,모더니즘과사회변화,3.0,"[2, 3, 4]",,
미국문화전공,AMC4105,포스트모더니즘과탈식민주의,3.0,"[2, 3, 4]",,
미국문화전공,AMC4120,문화와정치,3.0,"[2, 3, 4]",,
미국문화전공,AMC4125,인간과과학기술,3.0,"[2, 3, 4]",,
미국문화전공,AMC4130,1960년대의저항문화,3.0,"[2, 3, 4]",,
미국문화전공,AMC4135,젠더세미나,3.0,"[2, 3, 4]",,
미국문화전공,AMC4155,미국아시아계문화,3.0,"[2, 3, 4]",,
미국문화전공,AMC4157,미국흑인문화,3.0,"[2, 3, 4]",,(구)미국흑인문화(AMC3082)
미국문화전공,AMC4160,초국가주의와 미국문화,3.0,"[2, 3, 4]",,
미국문화전공,AMC4199,미국문화세미나,3.0,"[2, 3, 4]",,
미국문화전공,AMC4301,미국문화학 이론과 실습1(캡스톤디자인),3.0,"[3, 4]",,
미국문화전공,AMC4302,미국문화학 이론과 실습2 (캡스톤디자인),3.0,"[3, 4]",,
미국문화전공,AMC4304,문화민주주의 현장 연구(캡스톤디자인),3.0,"[3, 4]",,
빅데이터사이언스연계전공,BDS3010,빅데이터컴퓨팅,3.0,"[3, 4]",,
빅데이터사이언스연계전공,BDS3020,블록체인및응용,3.0,"[3, 4]",,
빅데이터사이언스연계전공,BDS4010,빅데이터종합설계(캡스톤디자인),3.0,[4],,
생명과학과,BIO1101,일반생물학I,3.0,[1],생명과학과(1전공 불가능),
생명과학과,BIO1102,일반생물학II,3.0,[1],,
생명과학과,BIO1105,일반생물학실험I,1.0,[1],,
생명과학과,BIO1106,일반생물학실험II,1.0,[1],,
생명과학과,BIO2121,현대생물학실험I,3.0,[2],,
생명과학과,BIO2122,현대생물학실험II,3.0,[2],,
생명과학과,BIO2131,생화학I,3.0,[2],,
생명과학과,BIO2132,생화학II,3.0,[2],,
생명과학과,BIO2141,세포학,3.0,[2],,
생명과학과,BIO2151,분자생물학,3.0,[2],,
생명과학과,BIO2311,생명유기화학,3.0,[2],,
생명과학과,BIO2350,숙주미생물상호작용,3.0,"[2, 3]",,
생명과학과,BIO2522,식물생명과학,3.0,"[2, 3]",,
생명과학과,BIO2601,유전자클로닝개론,3.0,[2],,
생명과학과,BIO2701,환경과학론,3.0,"[2, 3, 4]",,
생명과학과,BIO3100,전공진로설계Ⅰ,,"[2, 3, 4]",,
생명과학과,BIO3123,현대생물학실험III,3.0,[3],,
생명과학과,BIO3124,현대생물학실험IV,3.0,[3],,
생명과학과,BIO3161,유전학,3.0,[3],,
생명과학과,BIO3212,생명공학개론,3.0,"[3, 4]",,
생명과학과,BIO3711,미생물학,3.0,[3],,
생명과학과,BIO3712,미생물생리학,3.0,"[3, 4]",,구BIO5712
생명과학과,BIO4100,생명과학현장실습,3.0,"[3, 4]",,"과목평가:S/U, (구)생명과학인턴쉽"
생명과학과,BIO4203,생명과학특허와기술이전,1.0,"[3, 4]",,전공학점으로 인정되지 않음.(총학점에는 포함됨)
생명과학과,BIO4251,생물통계학,3.0,"[3, 4]",,
생명과학과,BIO4252,암생물학,3.0,[4],,
생명과학과,BIO4321,인체생리학,3.0,"[3, 4]",,
생명과학과,BIO4322,동물대사학,3.0,"[3, 4]",,
생명과학과,BIO4331,신경생물학,3.0,[4],,
생명과학과,BIO4351,면역학,3.0,"[3, 4]",,
생명과학과,BIO4441,분자세포생물학,3.0,"[3, 4]",,
생명과학과,BIO4521,식물발달생물학,3.0,[4],,
생명과학과,BIO4721,분자세포종양학,3.0,"[3, 4]",,
생명과학과,BIO4911,식물유전공학,3.0,[4],,
생명과학과,BIO4921,특수연구,3.0,[4],,전공학점으로 인정되지 않음.(총학점에는 포함됨)
생명과학과,BIO4931,응용바이오기술실험,3.0,[4],,*특수연구와 동시수강 불가 *7학기 이상 수강가능
생명과학과,BIOG001,바이오텍의기술사업화(캡스톤디자인),3.0,"[3, 4]",,구)바이오텍의상업화종합설계
바이오융합기술 연계전공,BNT3009,바이오모방공학개론,3.0,"[3, 4]",,기계공학과 바이오모방공학개론 MEE4016 과목과 합반 수업
바이오융합기술 연계전공,BNTG006,바이오기술과투자기초,3.0,"[3, 4]","경제대학,경영대학(불가능)",대학원 초급과목(구 기술과경제정책)
바이오융합기술 연계전공,BNTG009,유전체분석기술,3.0,"[3, 4]",,구)생분석화학/구)생물물리화학
바이오융합기술 연계전공,BNTG011,분자유전체공학,3.0,"[1, 2, 3, 4]",,
