학과,과목번호,과목명,학점,권장학년,수강신청 참조사항,과목 설명
컴퓨터공학과,CSE3013,소프트웨어개발도구및환경실습,3.0,[2],"인공지능학과(1전공 불가능),인공지능학과(1전공 불가능)",구)컴퓨터공학설계및실험I
컴퓨터공학과,CSE3015,디지털회로개론,3.0,[2],,
컴퓨터공학과,CSE3016,컴퓨터공학실험II,3.0,[2],"인공지능학과(1전공 불가능),인공지능학과(1전공 불가능)",
컴퓨터공학과,CSE3030,컴퓨터시스템개론,3.0,[2],"인공지능학과(1전공 불가능),인공지능학과(1전공 불가능)",(구)어셈블리프로그래밍
컴퓨터공학과,CSE3040,JAVA언어,3.0,[2],,
컴퓨터공학과,CSE3080,자료구조,3.0,[2],"인공지능학과(1전공 불가능),인공지능학과(1전공 불가능)",선수과목 : CSE2035 C프로그래밍(또는 STS2008 고급응용C프로그래밍 또는CSW2010 기초C언어 또는 EEE1002 C언어기초 또는 MEE1005 C프로그래밍기초)
컴퓨터공학과,CSE3081,알고리즘설계와분석,3.0,[2],,선수과목 : CSE3080 자료구조(또는 CSW2030 자료구조입문)
컴퓨터공학과,CSE3301,연구프로젝트Ⅰ,3.0,"[3, 4]",,
컴퓨터공학과,CSE3302,연구프로젝트Ⅱ,3.0,"[3, 4]",,
컴퓨터공학과,CSE4010,컴퓨터아키텍쳐,3.0,[3],"인공지능학과(1전공 불가능),인공지능학과(1전공 불가능)","(=전자공학과 컴퓨터아키텍쳐, 둘 중 한과목만 학점인정)(구)컴퓨터구조와논리Ⅰ, 선수과목 : CSE3015 디지털회로개론"
컴퓨터공학과,CSE4011,임베디드컴퓨터구조,3.0,"[3, 4]",,선수과목 : CSE3015 디지털회로개론
컴퓨터공학과,CSE4014,딥러닝개론,3.0,"[3, 4]",,
컴퓨터공학과,CSE4020,SW 분석 및 설계,3.0,"[3, 4]",,
컴퓨터공학과,CSE4022,오픈소스를 이용한 SW 개발 실습,3.0,"[3, 4]",,
컴퓨터공학과,CSE4050,프로그래밍언어,3.0,[3],,선수과목 : CSE3080 자료구조(또는 CSW2030 자료구조입문)
컴퓨터공학과,CSE4060,지능형통신시스템,3.0,"[3, 4]",,구)데이터통신개론
컴퓨터공학과,CSE4070,운영체제,3.0,"[3, 4]",,선수과목 : CSE3080 자료구조(또는 CSW2030 자료구조입문)
컴퓨터공학과,CSE4085,자동장치이론,3.0,"[3, 4]",,
컴퓨터공학과,CSE4100,시스템프로그래밍,3.0,[3],"인공지능학과(1전공 불가능),인공지능학과(1전공 불가능)",구)멀티코어프로그래밍
컴퓨터공학과,CSE4103,커넥티드플랫폼이론과실제(캡스톤디자인),3.0,"[3, 4]",,
컴퓨터공학과,CSE4104,해킹및정보보안,3.0,"[3, 4]",,
컴퓨터공학과,CSE4110,데이터베이스시스템,3.0,[3],"인공지능학과(1전공 불가능),인공지능학과(1전공 불가능)",
컴퓨터공학과,CSE4115,소프트웨어공학,3.0,"[3, 4]",,
컴퓨터공학과,CSE4116,임베디드시스템소프트웨어,3.0,[4],,
컴퓨터공학과,CSE4120,기초컴파일러구성,3.0,[4],,
컴퓨터공학과,CSE4130,기초머신러닝,3.0,"[3, 4]","인공지능학과(1전공 불가능),인공지능학과(1전공 불가능)",
컴퓨터공학과,CSE4140,수치컴퓨팅및응용,3.0,[4],,선수과목 : STS2006 미적분학II
컴퓨터공학과,CSE4152,문제해결프로그래밍실습,3.0,"[3, 4]",,"선수과목:CSE3013 컴퓨터공학설계및실험I,구)고급소프트웨어실습I"
컴퓨터공학과,CSE4170,기초컴퓨터그래픽스,3.0,"[3, 4]","인공지능학과(1전공 불가능),인공지능학과(1전공 불가능)",선수과목 : STS2005 미적분학I
컴퓨터공학과,CSE4175,컴퓨터네트워크,3.0,[4],"인공지능학과(1전공 불가능),인공지능학과(1전공 불가능)",구)기초컴퓨터네트워크
컴퓨터공학과,CSE4177,인터넷프로그래밍및응용,3.0,[4],,
컴퓨터공학과,CSE4178,기초SOC설계,3.0,"[3, 4]",,선수과목 : CSE3015 디지털회로개론
컴퓨터공학과,CSE4185,기초인공지능,3.0,"[3, 4]",,선수과목 : CSE3080 자료구조(또는 CSW2030 자료구조입문)
컴퓨터공학과,CSE4186,캡스톤디자인(캡스톤디자인),3.0,"[3, 4]",,구)캡스톤디자인I(캡스톤디자인)
컴퓨터공학과,CSE4187,산학프로젝트(캡스톤디자인),3.0,[4],,"구)캡스톤디자인II(캡스톤디자인), 산학과제실습"
컴퓨터공학과,CSE4188,암호학기초,3.0,[4],,
컴퓨터공학과,CSE4189,산학과제실습,3.0,"[3, 4]",,
컴퓨터공학과,CSE4190,컴퓨터공학 현장실습,3.0,"[3, 4]",,구)인턴십
컴퓨터공학과,CSE4191,SW 인턴십,3.0,"[3, 4]",,
컴퓨터공학과,CSE4200,기초추천시스템,3.0,"[3, 4]",,
컴퓨터공학과,CSEG109,오디오인식및합성변환,3.0,"[3, 4]",,
컴퓨터공학과,CSEG311,음성인식,3.0,"[3, 4]",,"대학원 초급과목, 구)대화형사용자인터페이스개론"
컴퓨터공학과,CSEG312,데이터마이닝,3.0,[4],,대학원 초급과목
컴퓨터공학과,CSEG321,인간언어기술개론,3.0,[4],,대학원 초급과목
컴퓨터공학과,CSEG416,패턴인식,3.0,[4],,
컴퓨터공학과,CSEG418,컴퓨터비전,3.0,"[3, 4]",,
컴퓨터공학과,CSEG463,기초딥러닝,3.0,"[3, 4]",,
컴퓨터공학과,CSEG483,기초 GPU 프로그래밍,3.0,"[3, 4]",,구)GPGPU 컴퓨팅
컴퓨터공학과,CSEQ981,컴퓨터교과교육론,3.0,"[3, 4]",,교직이수자만 전공학점으로 인정
컴퓨터공학과,CSEQ982,컴퓨터학교과교재연구및지도법,3.0,"[2, 3, 4]",,교직이수자만 전공학점으로 인정
컴퓨터공학과,CSEQ983,컴퓨터학교과논리및논술,3.0,"[2, 3, 4]",,교직이수자만 전공학점으로 인정
융합소프트웨어연계전공,CSW2010,기초C언어,3.0,"[2, 3, 4]","전자공학과(불가능),컴퓨터공학과(불가능),컴퓨터공학과(불가능)","전자공학, 컴퓨터공학전공자 수강 불가"
융합소프트웨어연계전공,CSW2020,기초Java언어,3.0,"[2, 3, 4]",,
융합소프트웨어연계전공,CSW2030,자료구조입문,3.0,"[2, 3, 4]",,
융합소프트웨어연계전공,CSW2040,정보사회와인문학,3.0,"[2, 3, 4]",,
융합소프트웨어연계전공,CSW2050,코퍼스언어학,3.0,"[2, 3, 4]",,
융합소프트웨어연계전공,CSW2060,인문콘텐츠학,3.0,"[2, 3, 4]",,
융합소프트웨어연계전공,CSW3010,알고리즘입문,3.0,"[2, 3, 4]","전자공학과(불가능),컴퓨터공학과(불가능),컴퓨터공학과(불가능)","전자공학, 컴퓨터공학전공자 수강 불가"
융합소프트웨어연계전공,CSW3020,운영체제입문,3.0,"[2, 3, 4]","전자공학과(불가능),컴퓨터공학과(불가능),컴퓨터공학과(불가능)","전자공학, 컴퓨터공학전공자 수강 불가"
융합소프트웨어연계전공,CSW3030,데이터베이스입문,3.0,"[2, 3, 4]",,
융합소프트웨어연계전공,CSW3040,소프트웨어공학입문,3.0,"[2, 3, 4]","전자공학과(불가능),컴퓨터공학과(불가능),컴퓨터공학과(불가능)","전자공학, 컴퓨터공학전공자 수강 불가"
융합소프트웨어연계전공,CSW3060,빅데이터학,3.0,"[2, 3, 4]",,
융합소프트웨어연계전공,CSW3070,문화산업과스토리텔링,3.0,"[2, 3, 4]",,
융합소프트웨어연계전공,CSW3080,빅데이터마이닝입문,3.0,"[3, 4]",,
융합소프트웨어연계전공,CSW4020,정보처리및자연언어처리,3.0,"[2, 3, 4]",,
대학,CUCAU002,한국힙합의랩탐구,3.0,"[1, 2, 3, 4]",,
대학,CUCAU012,과학의논쟁,3.0,"[1, 2, 3, 4]",,
대학,CUCAU013,휴머노이드 로봇,3.0,"[2, 3, 4]",,
대학,CUCAU014,Introduction to Int'l Organizations,3.0,"[1, 2, 3, 4]",,
대학,CUCAU017,Global Business and Legal Issues,3.0,"[2, 3, 4]",,
대학,CUCAU018,빅데이터이해와활용,3.0,"[1, 2, 3, 4]",,
대학,CUCAU023,"Animal Law and Ethics,Morality, Policy and Practice",3.0,"[2, 3, 4]",,
대학,CUCKD001,"시를 읽다, 소설을 읽다, 나를 읽다",2.0,"[2, 3, 4]",,
대학,CUCKD002,잘 실패하는 법,2.0,"[2, 3, 4]",,
대학,CUCKD009,가깝고도먼중국이야기,2.0,"[2, 3, 4]",,
대학,CUCKD010,역사를품은여성들,2.0,"[1, 2, 3, 4]",,
대학,CUCKD011,세계사:키워드로 읽다,2.0,"[2, 3, 4]",,
대학,CUCKD012,긍정심리학-행복한삶을위하여,2.0,"[2, 3, 4]",,
대학,CUCKD014,박물관 미술관과 함께하는 역사 여행,2.0,"[2, 3, 4]",,
대학,CUCKU002,관찰과세상읽기,2.0,"[1, 2, 3, 4]",,
대학,CUCKU004,감성인문학,2.0,"[2, 3, 4]",,
대학,CUCKU005,생각을 세우다,2.0,"[2, 3, 4]",,
대학,CUCKU006,에코토피아와 인간,2.0,"[1, 2, 3, 4]",,
대학,CUCKU007,평화 인문학과 안중근,2.0,"[1, 2, 3, 4]",,
대학,CUDGC004,예술의이해와탐구,2.0,"[2, 3, 4]",,
대학,CUDGC008,과학기술과사회,2.0,"[2, 3, 4]",,
대학,CUDGC009,서양중세문명의이해,2.0,"[2, 3, 4]",,
대학,CUDGC010,영화고전의발견,2.0,"[2, 3, 4]",,
대학,CUDGC012,경영학의이해,2.0,"[1, 2, 3, 4]",,
대학,CUICC004,4차산업혁명과예술,2.0,"[1, 2, 3, 4]",,
대학,CUICC006,음악과 인간행동,2.0,"[2, 3, 4]",,
대학,CUICC007,세계유산의 이해,2.0,"[2, 3, 4]",,
대학,CUICC008,삶의 재발견,2.0,"[2, 3, 4]",,
대학,CUICC009,취창업과 진로,2.0,"[2, 3, 4]",,
대학,CUICC010,연애심리학,2.0,"[2, 3, 4]",,
대학,CUICC011,우리의삶과의과학,2.0,"[2, 3, 4]",,
대학,CUMPC002,공감과 소통,2.0,"[2, 3, 4]",,
대학,CUMPC003,"사랑, 성, 생명",2.0,"[2, 3, 4]",,
대학,CUMPC004,도시와 문화예술,2.0,"[2, 3, 4]",,
대학,CUPSC001,웰빙과 웰다잉,3.0,"[2, 3, 4]",,
대학,CUPSC002,문학과 정신분석,3.0,"[2, 3, 4]",,
대학,CUPSC004,서브컬쳐문화의이해와비평,3.0,"[2, 3, 4]",,
디지털인문학연계전공,DIH3003,인문 데이터베이스,3.0,"[2, 3, 4]",,
디지털인문학연계전공,DIH3004,인문데이터 전산처리,3.0,"[2, 3, 4]",,
디지털인문학연계전공,DIH3005,인문 프로그래밍 기초,3.0,"[1, 2, 3, 4]",,
디지털인문학연계전공,DIH3006,인문 프로그래밍 심화,3.0,"[2, 3, 4]",,
디지털인문학연계전공,DIH3007,디지털인문학 실습 프로젝트,3.0,"[2, 3, 4]",,
경제학과,ECO2001,경제학원론I,3.0,[1],,
경제학과,ECO2002,경제학원론II,3.0,[1],,
경제학과,ECO2003,경제수리기초,3.0,[1],"수학과(불가능),컴퓨터공학과(불가능),컴퓨터공학과(불가능)",
경제학과,ECO2004,경제통계학,3.0,[1],"수학과(불가능),컴퓨터공학과(불가능),컴퓨터공학과(불가능)",
경제학과,ECO2006,미시경제학I,3.0,[2],,"선수과목 : ECO2001, ECO2003(또는 STS2005 또는 STS2006)"
경제학과,ECO2007,거시경제학I,3.0,[2],,"선수과목:ECO2001,ECO2002,ECO2003(또는 STS2005 또는 STS2006)"
경제학과,ECO2008,수리경제학,3.0,[2],,"선수과목 : ECO2001, ECO2003(또는 STS2005 또는 STS2006)"
경제학과,ECO2009,계량경제학I,3.0,"[2, 3]",,선수과목:ECO2004(또는 MAT3020 or MGT2002 or MAT2410)
경제학과,ECO2012,동태계획법,3.0,"[2, 3, 4]",,선수과목 : ECO2003(또는 STS2005 또는 STS2006)
경제학과,ECO3001,산업경제학,3.0,"[3, 4]",,"(구)산업조직론,선수과목:ECO2006,ECO2004(또는MAT3020 또는 MGT2002 또는 MAT2410)"
경제학과,ECO3002,노동경제학,3.0,"[3, 4]",,"선수과목 : ECO2006, ECO2004(또는 MAT3020 또는 MGT2002 또는 MAT2410)"
경제학과,ECO3004,도시경제학,3.0,"[3, 4]",,선수과목 : ECO2006 미시경제학I
경제학과,ECO3005,환경경제학,3.0,"[3, 4]",,"선수과목 : ECO2006 미시경제학I, ECO2007 거시경제학I"
경제학과,ECO3008,금융경제학,3.0,"[3, 4]",,"선수과목 : ECO2006 미시경제학I, ECO2007 거시경제학I"
경제학과,ECO3009,공공경제학,3.0,"[3, 4]",,"(구) 재정학, 선수과목 : ECO2006, ECO2007"
경제학과,ECO3010,국제무역론,3.0,"[3, 4]",,선수과목 : ECO2006 미시경제학I
경제학과,ECO3011,국제금융론,3.0,"[3, 4]",,선수과목 : ECO2007 거시경제학I
경제학과,ECO3012,개발경제학,3.0,"[3, 4]",,"(구) 경제발전론I, 선수과목 : ECO2006, ECO2007"
경제학과,ECO3017,국제경제학,3.0,"[3, 4]",,"선수과목 : ECO2001 경제학원론I, ECO2002 경제학원론II"
경제학과,ECO3020,경제학현장실습,3.0,"[3, 4]",,
경제학과,ECO3021,경제성장론,3.0,"[3, 4]",,"선수과목 : ECO2007, ECO2003(또는 STS2005 또는 STS2006)"
경제학과,ECO3022,금융시장의빅데이터분석(캡스톤디자인),3.0,"[3, 4]",,"선수과목:ECO2001경제학원론I, ECO2002경제학원론II"
경제학과,ECO3023,AI금융(캡스톤디자인),3.0,"[3, 4]",,"선수과목:ECO2001경제학원론I, ECO2002경제학원론II"
경제학과,ECO3024,경제학도를위한파이썬,3.0,"[1, 2, 3]",,
경제학과,ECO3025,경제학도를위한기계학습,3.0,"[2, 3, 4]",,
경제학과,ECO3026,교통경제학,3.0,"[3, 4]",,"선수과목:ECO2001,ECO2004"
경제학과,ECO3027,전공진로설계Ⅰ,,"[2, 3, 4]",,
경제학과,ECO4001,미시경제학II,3.0,"[3, 4]",,선수과목 : ECO2006 미시경제학I
경제학과,ECO4002,거시경제학II,3.0,"[3, 4]",,선수과목 : ECO2007 거시경제학I
경제학과,ECO4004,경제수리통계학,3.0,[3],,선수과목 : ECO2004(또는 MAT3020 또는 MGT2002 또는 MAT2410)
경제학과,ECO4005,게임이론,3.0,"[3, 4]",,선수과목 : ECO2006 미시경제학I
경제학과,ECO4006,정보경제학,3.0,"[3, 4]",,선수과목 : ECO2006 미시경제학I
경제학과,ECO4007,경쟁법과산업규제의경제학,3.0,"[3, 4]",,"(구) 법과 경제, 선수과목 : ECO2006 미시경제학I"
경제학과,ECO4008,금융정책,3.0,"[3, 4]",,"선수과목 : ECO2006 미시경제학I, ECO2007 거시경제학I"
경제학과,ECO4009,파생상품시장,3.0,"[3, 4]",,"선수과목 : ECO2006, ECO2004(또는 MAT3020 또는 MGT2002 또는 MAT2410)"
경제학과,ECO4010,국제금융시장,3.0,"[3, 4]",,"선수과목 : ECO2001 경제학원론I, ECO2002 경제학원론II"
경제학과,ECO4014,한국경제론,3.0,"[3, 4]",,"선수과목 : ECO2001 경제학원론I, ECO2002 경제학원론II"
경제학과,ECO4020,경제학특강3,3.0,"[3, 4]",,"선수과목 : ECO2001, ECO2002"
경제학과,ECO4022,경제학특강5,3.0,"[3, 4]",,"선수과목 : ECO2001 경제학원론I, ECO2002 경제학원론II"
경제학과,ECO4030,행동경제학,3.0,"[3, 4]",,선수과목 : ECO2006 미시경제학I
경제학과,ECO4031,실험경제학,3.0,"[2, 3, 4]",,선수과목 : ECO2006 미시경제학I
경제학과,ECO4032,금융시장계량분석(캡스톤디자인),3.0,"[3, 4]",,선수과목 : ECO2009 계량경제학I
경제학과,ECO4036,다국적기업과경제분석,3.0,"[3, 4]",,선수과목:ECO2006 미시경제학1
경제학과,ECO4037,주식및채권시장,3.0,"[2, 3, 4]",,"선수과목:ECO2003,ECO2004,ECO2006"
경제학과,ECO4038,경기변동론(캡스톤디자인),3.0,"[3, 4]",,구)경기변동론
경제학과,ECO4039,응용미시이론,3.0,"[3, 4]",,선수과목:ECO2006
경제학과,ECOG010,고급미시경제학I,3.0,[4],,"대학원초급과목, 선수과목 : ECO2006 미시경제학I"
경제학과,ECOG020,고급거시경제학I,3.0,[4],,"대학원초급과목, 선수과목 : ECO2006, ECO2007"
경제학과,ECOG030,고급계량경제학I,3.0,[4],,"대학원초급과목, 선수과목 : ECO2009 계량경제학I"
경제학과,ECOG040,고급수리통계학,3.0,"[1, 2, 3, 4]",,
경제학과,ECOG050,AI 거시경제,3.0,"[3, 4]",,
경제학과,ECOG051,AI와빅데이터를활용한경제정보처리,3.0,"[1, 2, 3, 4]",,대학원초급과목
교육문화연계전공,EDU2001,교육학개론,3.0,"[1, 2, 3, 4]",,
교육문화연계전공,EDU2002,교육철학및교육사,2.0,"[1, 2, 3, 4]",,
교육문화연계전공,EDU2003,교육심리,2.0,"[1, 2, 3, 4]",,
교육문화연계전공,EDU2004,교육방법및교육공학,2.0,"[2, 3, 4]",,
교육문화연계전공,EDU3001,교육과정,2.0,"[2, 3, 4]",,
교육문화연계전공,EDU3002,교육행정및교육경영,2.0,"[2, 3, 4]",,
교육문화연계전공,EDU3033,교육사회,2.0,"[2, 3, 4]",,
교육문화연계전공,EDU3034,학교현장실습,2.0,[4],,
교육문화연계전공,EDU3035,교육봉사활동,2.0,"[3, 4]",,성적평가:S/U
교육문화연계전공,EDU3037,생활지도및상담,2.0,"[2, 3, 4]",,
교육문화연계전공,EDU3045,특수교육학개론,2.0,"[3, 4]",,
교육문화연계전공,EDU3046,교직실무,2.0,"[3, 4]",,
교육문화연계전공,EDU3047,교육평가,2.0,"[3, 4]",,
교육문화연계전공,EDU3048,빅데이터의이해와교육적활용(캡스톤디자인),3.0,"[2, 3, 4]",,구)빅데이터의이해와교육적활용
교육문화연계전공,EDU3049,AI활용교육의이론과실제,3.0,"[2, 3, 4]",,
교육문화연계전공,EDU3050,디지털교육,1.0,"[3, 4]",,
인문대학,EDUF981,외국어교과교육론,3.0,"[1, 2, 3, 4]",,교직이수자만 전공학점으로 인정
인문대학,EDUF982,외국어교과논리및논술,3.0,"[1, 2, 3, 4]",,교직이수자만 전공학점으로 인정
인문대학,EDUF983,외국어교과교재연구및지도법,3.0,"[1, 2, 3, 4]",,교직이수자만 전공학점으로 인정
자연과학대학,EDUS981,과학교과교육론,3.0,"[1, 2, 3, 4]",,교직이수자만 전공학점으로 인정
자연과학대학,EDUS982,과학교과논리및논술,3.0,"[1, 2, 3, 4]",,교직이수자만 전공학점으로 인정
자연과학대학,EDUS983,과학교과교재연구및지도,3.0,"[1, 2, 3, 4]",,교직이수자만 전공학점으로 인정
전자공학과,EEE1002,C언어기초,3.0,"[1, 2, 3, 4]",,
전자공학과,EEE2011,전자공학세미나I,1.0,"[2, 3, 4]",,성적평가:S/U
전자공학과,EEE2012,전자공학세미나II,1.0,"[2, 3, 4]",,
전자공학과,EEE2032,창의전자설계,3.0,[1],,(구)공학입문설계
전자공학과,EEE2051,기초전자공학실험,3.0,[2],,
전자공학과,EEE2052,디지털논리회로실험,3.0,[2],,
전자공학과,EEE2101,전자장론I,3.0,[2],,"(=물리학과 전자기학I, 둘 중 한과목만 학점인정), 선수과목 : STS2006 미적분학II"
전자공학과,EEE2102,전자장론II,3.0,[2],,"전자기학II(물리PHY2004)로 대체가능,둘 중 한 과목만 학점인정,선수과목:EEE2101전자장론I 또는 PHY2003전자기학I"
전자공학과,EEE2103,고급공학수학I,3.0,[2],,구 전자응용해석I
전자공학과,EEE2104,고급공학수학II,3.0,[2],,
전자공학과,EEE2105,첨단반도체세미나,1.0,[2],,
전자공학과,EEE2108,자료구조 및 알고리즘,3.0,[2],,구)공학프로그래밍
전자공학과,EEE2111,기초회로이론,3.0,[1],,구) 회로이론I
전자공학과,EEE2112,회로이론,3.0,[2],,"(구)회로이론II, 선수과목 : EEE2111 기초회로이론"
전자공학과,EEE2120,물리전자공학I,3.0,[2],,
전자공학과,EEE2135,디지털회로설계,3.0,[2],,"(=컴퓨터공학과 디지털회로개론, 둘 중 한과목만 학점인정)"
전자공학과,EEE2153,신호및시스템,3.0,[2],,
전자공학과,EEE2187,전자공학현장실습,3.0,[2],,
전자공학과,EEE3121,물리전자공학II,3.0,[3],,선수과목 : EEE2120 물리전자공학I
전자공학과,EEE3131,전자회로I,3.0,[3],,선수과목 : EEE2111 기초회로이론
전자공학과,EEE3132,전자회로II,3.0,[3],,선수과목 : EEE3131 전자회로I
전자공학과,EEE3141,자동제어개론,3.0,[3],,
전자공학과,EEE3142,기계학습기초,3.0,[3],,(구)디지털 제어
전자공학과,EEE3146,반도체공학,3.0,[3],,(구)반도체공학I
전자공학과,EEE3148,통신공학개론,3.0,[3],,
전자공학과,EEE3149,디지털통신,3.0,[3],,선수과목 : EEE2153 신호및시스템
전자공학과,EEE3150,반도체엘리트프로젝트,3.0,[3],,
전자공학과,EEE3154,확률및랜덤변수,3.0,[3],,(구)랜덤프로세스
전자공학과,EEE3163,고급디지털회로설계,3.0,[4],,선수과목 : EEE2135 디지털회로설계 또는 CSE3015 디지털회로개론
전자공학과,EEE3178,컴퓨터아키텍쳐,3.0,[3],,
전자공학과,EEE3181,전자회로실험,3.0,[3],,
전자공학과,EEE3182,고급전자회로실험,3.0,[3],,
전자공학과,EEE3201,운영체제및시스템프로그래밍,3.0,"[3, 4]",,
전자공학과,EEE3202,반도체공정,3.0,"[3, 4]",,
전자공학과,EEE4125,전력전자공학,3.0,[4],,(구)광전자공학
전자공학과,EEE4147,센서및마이크로시스템,3.0,[4],,
전자공학과,EEE4159,이동통신,3.0,[4],,(구)이동통신공학
전자공학과,EEE4160,컴퓨터통신,3.0,[4],,
전자공학과,EEE4161,인터넷통신망,3.0,[4],,
전자공학과,EEE4162,반도체집적회로해석및설계,3.0,[4],,
전자공학과,EEE4165,디지털영상처리개론,3.0,[4],,
전자공학과,EEE4167,마이크로프로세서개론,3.0,[4],,
전자공학과,EEE4168,임베디드시스템설계,3.0,[4],,(구)마이크로프로세서시스템설계
전자공학과,EEE4169,VLSI시스템설계,3.0,[4],,
전자공학과,EEE4171,인공지능통신,3.0,[4],,(구)데이터통신시스템
전자공학과,EEE4173,마이크로파공학,3.0,"[3, 4]",,(구)초고주파공학
전자공학과,EEE4174,마이크로파회로설계,3.0,"[3, 4]",,(구)기초초고주파회로해석
전자공학과,EEE4175,디지털신호처리개론,3.0,[3],,선수과목 : EEE2153 신호및시스템
전자공학과,EEE4178,인공지능(딥러닝)개론,3.0,[4],,
전자공학과,EEE4183,마이크로프로세서응용실험,2.0,[4],,
전자공학과,EEE4185,디자인프로젝트(캡스톤디자인),3.0,[4],,
전자공학과,EEE4190,반도체 툴 및 설계실습,,[4],,
전자공학과,EEE4204,CIS및센서소자설계,3.0,[4],,
전자공학과,EEEG272,반도체메모리 회로설계(캡스톤디자인),3.0,[4],,"구)메모리설계,테스팅실무와특허사례(캡스톤디자인),대학원초급과목"
전자공학과,EEEG273,나노반도체소자공정실무와특허사례(캡스톤디자인),3.0,[4],,
전자공학과,EEEG274,IoT디바이스설계기술(캡스톤디자인),3.0,[4],,"대학원초급과목, 구 휴대폰설계기술과비즈니스모델"
전자공학과,EEEG477,패턴인식,3.0,[4],,
영미어문전공,ENG2001,영문학개론,3.0,[1],,
영미어문전공,ENG2002,영문학배경,3.0,"[2, 3, 4]",,
영미어문전공,ENG2003,언어학개론,3.0,"[1, 2, 3, 4]",,
영미어문전공,ENG2004,현대영미문학,3.0,"[2, 3, 4]",,
영미어문전공,ENG2005,영국문화사,3.0,"[2, 3, 4]",,
영미어문전공,ENG2006,연극의이해,3.0,"[2, 3, 4]",,연극을통한영어연습(ENG2110)의 대체과목
영미어문전공,ENG2009,영미단편소설,3.0,"[2, 3, 4]",,
영미어문전공,ENG2101,영문학작문,3.0,"[1, 2]",,
영미어문전공,ENG2103,작문과수사학,3.0,"[2, 3, 4]",,영작문연습(ENG2107)의 대체과목
영미어문전공,ENG2104,실용영문법,3.0,"[1, 2, 3, 4]",,
영미어문전공,ENG3001,초서와 근대 이전 영문학,3.0,"[2, 3, 4]",,구)초서연구
영미어문전공,ENG3003,르네상스시대의영문학,3.0,"[2, 3, 4]",,
영미어문전공,ENG3004,셰익스피어,3.0,"[2, 3, 4]",,
영미어문전공,ENG3005,17세기영문학,3.0,"[2, 3, 4]",,
영미어문전공,ENG3007,낭만주의시대의영문학,3.0,"[2, 3, 4]",,
영미어문전공,ENG3009,빅토리아시대의영문학,3.0,"[2, 3, 4]",,
영미어문전공,ENG3010,빅토리아시대의소설,3.0,"[2, 3, 4]",,
영미어문전공,ENG3011,19세기미국문학,3.0,"[2, 3, 4]",,
영미어문전공,ENG3101,현대시,3.0,"[2, 3, 4]",,
영미어문전공,ENG3102,현대서양문학,3.0,"[2, 3, 4]",,
영미어문전공,ENG3103,현대영국희곡,3.0,"[2, 3, 4]",,
영미어문전공,ENG3104,현대영국소설,3.0,"[2, 3, 4]",,
영미어문전공,ENG3105,최근영국문학,3.0,"[2, 3, 4]",,
영미어문전공,ENG3106,현대미국희곡,3.0,"[2, 3, 4]",,
영미어문전공,ENG3107,현대미국소설,3.0,"[2, 3, 4]",,
영미어문전공,ENG3108,최근미국문학,3.0,"[2, 3, 4]",,
영미어문전공,ENG3201,신화와문학,3.0,"[2, 3, 4]",,
영미어문전공,ENG3209,공상과학문학,3.0,"[2, 3, 4]",,
영미어문전공,ENG3213,여성문학,3.0,"[2, 3, 4]",,
영미어문전공,ENG3214,영어권아동/청소년문학,3.0,"[2, 3, 4]",,
영미어문전공,ENG3216,영문학특강,3.0,"[2, 3, 4]",,
영미어문전공,ENG3222,소설의기원과발달,3.0,"[2, 3, 4]",,
영미어문전공,ENG3223,시와문화,3.0,"[2, 3, 4]",,
영미어문전공,ENG3224,서양문학전통,3.0,"[2, 3, 4]",,
영미어문전공,ENG3227,문학과예술,3.0,"[2, 3, 4]",,
영미어문전공,ENG3233,법과 문학,3.0,"[2, 3, 4]",,
영미어문전공,ENG3301,영어음성학,3.0,"[2, 3, 4]",,
영미어문전공,ENG3303,영어사,3.0,"[2, 3, 4]",,영어의이해(AMC2026)의 대체과목
영미어문전공,ENG3304,영어음운론,3.0,"[2, 3, 4]",,
영미어문전공,ENG3305,영어화용론,3.0,"[2, 3, 4]",,
영미어문전공,ENG3306,영어통사론,3.0,"[2, 3, 4]",,
영미어문전공,ENG3307,영어의미론,3.0,"[2, 3, 4]",,
영미어문전공,ENG3311,언어와문화,3.0,"[2, 3, 4]",,
영미어문전공,ENG3312,언어와사회,3.0,"[2, 3, 4]",,
영미어문전공,ENG3317,세계화시대의언어:최근동향과이슈,3.0,"[2, 3, 4]",,구)세계화시대의영어:최근동향과이슈
영미어문전공,ENG3322,언어유형과 언어다양성,3.0,"[2, 3, 4]",,
영미어문전공,ENG3406,영문자서전창작,3.0,"[1, 2, 3, 4]",,
영미어문전공,ENG3407,대화분석,3.0,"[2, 3, 4]",,(구) ENG3310 담화분석개론
영미어문전공,ENG3409,영어발음의이해,3.0,"[1, 2, 3, 4]",,"(구) ENG3316, 영어듣기,말하기캡스톤디자인"
영미어문전공,ENG3410,영문창작,3.0,"[2, 3, 4]",,
영미어문전공,ENG3412,영어연설과원고작성법,3.0,"[1, 2, 3, 4]",,영어연설연습(ENG2109)의 대체과목
영미어문전공,ENG3413,인간과기계와의대화인터페이스,3.0,"[3, 4]",,디지털 인문학연계전공의 영미어문전공 과목
영미어문전공,ENG3414,음성데이터처리와 음성인식(캡스톤디자인),3.0,"[3, 4]",,디지털인문학연계전공의 영미어문전공 과목
