학년도,학기,소속,학과,과목번호,분반,과목명,강의계획서,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,Honors과목,공학인증,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2024 학년도,동계학기,대학,아트&테크놀로지학과,AAT2003,01,Intro to Digital Arts,조회,3.0,"월,화,수,목,금 13:00~15:45 [X423]",6.0,이형기,19,O,,,,,,,,,전학년,1-4학년,,구) ANT2004,
2024 학년도,동계학기,대학,아트&테크놀로지학과,AAT4012,01,Internship Ⅰ,,3.0,"월,화,수,목,금 09:00~11:45 [X429]",6.0,최용순,1,,,O,,,,,,,전학년,1-4학년,,과목평가:S/U,현장실습과목
2024 학년도,동계학기,대학,인공지능학과,AIE3050,01,자료구조,조회,3.0,"월,화,수,목,금 13:00~15:45 [R912]",6.0,정영민,4,,,,,,,,,,전학년,2학년,인공지능학과(가능),선수과목:AIE2051,인공지능학과만 가능/CSE3080 합반
2024 학년도,동계학기,대학,화공생명공학과,CBE4100,01,인턴쉽I,,3.0,,,하경수,3,,,O,,,,,,,전학년,3-4학년,,과목평가:S/U,수강승인 학과에 문의
2024 학년도,동계학기,대학,전인교육원,CHS2003,01,현대동아시아의형성,조회,3.0,"월,화,수,목,금 09:00~11:45",6.0,이미영,14,,,,O,,,,,,,1-2학년,,,CU12 비대면
2024 학년도,동계학기,대학,전인교육원,COR1003,01,영어글로벌의사소통I,조회,3.0,"월,화,수,목,금 09:00~11:45 [J313]",6.0,이현숙,17,O,,,,,,,,,전학년,1학년,,"구 영어I, 신입생 대다수의 학생이 대상",
2024 학년도,동계학기,대학,전인교육원,COR1003,02,영어글로벌의사소통I,조회,3.0,"월,화,수,목,금 13:00~15:45",6.0,이주영,16,O,,,,,,,,,전학년,1학년,,"구 영어I, 신입생 대다수의 학생이 대상",교내 비대면(실시간)
2024 학년도,동계학기,대학,전인교육원,COR1010,01,기초인공지능프로그래밍,조회,3.0,"월,화,수,목,금 09:00~11:45 [D104B]",6.0,"Sutherland,Ian",38,O,,,,,,,,,전학년,1학년,,컴퓨팅사고력(COR1009) 대체과목,
2024 학년도,동계학기,대학,전인교육원,COR1010,02,기초인공지능프로그래밍,조회,3.0,"월,화,수,목,금 13:00~15:45 [D105]",6.0,나미향,35,,,,,,,,,,전학년,1학년,,컴퓨팅사고력(COR1009) 대체과목,
2024 학년도,동계학기,대학,전인교육원,COR1012,01,인문사회글쓰기,조회,3.0,"월,화,수,목,금 09:00~11:45 [J209]",6.0,이유진,15,,,,,,,,,,전학년,1학년,,읽기와쓰기(COR1001)의 대체과목,
2024 학년도,동계학기,대학,전인교육원,COR1012,02,인문사회글쓰기,조회,3.0,"월,화,수,목,금 13:00~15:45 [J209]",6.0,손혜민,25,,,,,,,,,,전학년,1학년,,읽기와쓰기(COR1001)의 대체과목,
2024 학년도,동계학기,대학,전인교육원,COR1013,01,자연계글쓰기,조회,3.0,"월,화,수,목,금 09:00~11:45 [J215]",6.0,심진경,27,,,,,,,,,,전학년,1학년,,읽기와쓰기(COR1001)의 대체과목,
2024 학년도,동계학기,대학,전인교육원,COR1013,02,자연계글쓰기,조회,3.0,"월,화,수,목,금 13:00~15:45 [J215]",6.0,허재홍,26,,,,,,,,,,전학년,1학년,,읽기와쓰기(COR1001)의 대체과목,
2024 학년도,동계학기,대학,컴퓨터공학과,CSE3080,01,자료구조,조회,3.0,"월,화,수,목,금 13:00~15:45 [R912]",6.0,정영민,23,,,,,,,,,,전학년,2학년,,선수과목 : CSE2035 C프로그래밍(또는 STS2008 고급응용C프로그래밍 또는CSW2010 기초C언어 또는 EEE1002 C언어기초 또는 MEE1005 C프로그래밍기초),AIE3050 합반
2024 학년도,동계학기,대학,컴퓨터공학과,CSE4190,01,컴퓨터공학 현장실습,조회,3.0,,,정영민,6,,,O,,,,,,,,3-4학년,,구)인턴십,"현장실습과목, 컴퓨터공학전공 3학년 이상만 가능. 수강승인(문의: 713-8485)"
2024 학년도,동계학기,대학,대학,CUCAU013,01,휴머노이드 로봇,,3.0,"월,화,수,목,금,토 18:50~20:50",6.0,,22,,,,O,,,,,,,2-4학년,,,
2024 학년도,동계학기,대학,대학,CUCKD002,01,잘 실패하는 법,,2.0,"월,화,수,목,금,토 11:50~12:50",6.0,,12,,,,O,,,,,,,2-4학년,,,
2024 학년도,동계학기,대학,경제학과,ECO2001,01,경제학원론I,조회,3.0,"월,화,수,목,금 09:00~11:45 [K203]",6.0,김숙영,27,,,,,,,,,,전학년,1학년,,,
2024 학년도,동계학기,대학,경제학과,ECO2002,01,경제학원론II,조회,3.0,"월,화,수,목,금 13:00~15:45 [PA201]",6.0,김형욱,27,,,,,,,,,,전학년,1학년,,,
2024 학년도,동계학기,대학,경제학과,ECO2004,01,경제통계학,조회,3.0,"월,화,수,목,금 09:00~11:45 [K307]",6.0,박경옥,24,,,,,,,,,,전학년,1학년,,,
2024 학년도,동계학기,대학,경제학과,ECO3020,01,경제학현장실습,,3.0,,,김영익,3,,,O,,,,,,,전학년,3-4학년,,,"현장실습과목, 수강승인과목, 경제대학 홈페이지 참고"
2024 학년도,동계학기,대학,교육문화연계전공,EDU3035,01,교육봉사활동,,2.0,,,신효정,2,,,,,,,,,,전학년,3-4학년,,성적평가:S/U,"""교직이수학생만 신청가능/
강의시간은 별도 시간지정(개설교과목정보에 기재되어있는 시간과는 무관)"""
2024 학년도,동계학기,대학,전자공학과,EEE2187,01,전자공학현장실습,조회,3.0,,,정옥현,3,,,O,,,,,,,전학년,2학년,,,현장실습과목
2024 학년도,동계학기,대학,전인교육원,ETS2002,01,논리와비판적사고,조회,3.0,"월,화,수,목,금 09:00~11:45",6.0,오은영,19,,,,O,,,,,,,1-4학년,,,CU12 비대면
2024 학년도,동계학기,대학,전인교육원,HFS2001,01,철학적인간학,조회,3.0,"월,화,수,목,금 13:00~15:45",6.0,김선영,35,,,,O,,,,,,,2학년,,인간과세계에대한관상(스탈링스)(SHU4055)의 대체과목,CU12 비대면
2024 학년도,동계학기,대학,전인교육원,HFS2001,02,철학적인간학,조회,3.0,"월,화,수,목,금 09:00~11:45 [D502]",6.0,홍경자,21,,,,,,,,,,전학년,2학년,,인간과세계에대한관상(스탈링스)(SHU4055)의 대체과목,
2024 학년도,동계학기,대학,전인교육원,HFS2002,01,신학적인간학,조회,3.0,"월,화,수,목,금 13:00~15:45",6.0,유정원,9,,,,O,,,,,,,2학년,,신의문제(HFS2005)의 대체과목/그리스도교사상(HFS2004)의 대체과목,CU12 비대면
2024 학년도,동계학기,대학,사학과,HIS2005,01,서양사개론Ⅰ,조회,3.0,"월,화,수,목,금 09:00~11:45 [J315]",6.0,강정석,8,,,,,,,,,,전학년,2-4학년,,"구 서양사개설I,II 통합과목",
2024 학년도,동계학기,대학,전인교육원,HSS3005,01,수화의이해,조회,3.0,"월,화,수,목,금 09:00~11:45",6.0,안영회,40,,,,O,,,,,,,1-4학년,,성적평가:S/U,CU12 비대면
2024 학년도,동계학기,대학,신문방송학과,JAS4590,01,인턴십(계절),,3.0,,,서수민,2,,,O,,,,,,,전학년,3-4학년,,"구)언론정보현장실습, S/U과목",현장실습과목
2024 학년도,동계학기,대학,전인교육원,LCS2007,01,일본언어와문화I,조회,3.0,"월,화,수,목,금 13:00~15:45 [J219]",6.0,허지은,19,,,,,,,,,,전학년,1-4학년,,초급일본어I(LCU4053)의 대체과목,
2024 학년도,동계학기,대학,미디어&엔터테인먼트학과,MAE4039,01,나노디그리심화워크숍(미디어기업전략경영),,,[GA402],,사영준,3,,,,,,,,,,전학년,1-4학년,,,특강시간은 추후 지융미 홈페이지에 공지 예정
2024 학년도,동계학기,대학,지식융합미디어대학,MAS1003,01,The art of storytelling,조회,3.0,"월,화,수,목,금 09:00~11:45 [J202]",6.0,안성호,25,O,,,,,,,,,전학년,1-4학년,,AAT3012의 대체과목,
2024 학년도,동계학기,대학,지식융합미디어대학,MAS1004,01,Data&AI,조회,3.0,"월,화,수,목,금 09:00~11:45 [K201]",6.0,김태훈,7,O,,,,,,,,,전학년,2-4학년,,"지융미 두번째학기부터 수강가능,선수과목:COR1009또는COR1010",
2024 학년도,동계학기,대학,지식융합미디어대학,MAS2003,01,한류,조회,3.0,"월,화,수,목,금 09:00~11:45 [J217]",6.0,이윤송,17,,,,,,,,,,전학년,1-4학년,,,
2024 학년도,동계학기,대학,지식융합미디어대학,MAS2008,01,Fundamentals of Programming and Problem Solving,조회,3.0,"월,화,수,목,금 13:00~15:45 [X513]",6.0,이강일,15,,,,,,,,,,전학년,2-4학년,,,
2024 학년도,동계학기,대학,지식융합미디어대학,MAS3001,01,미디어커뮤니케이션조사론,조회,3.0,"월,화,수,목,금 09:00~11:45 [GA303B]",6.0,조재희,11,,,,,,,,,,전학년,2-4학년,,"구)COM2004/커뮤.지융미(신방,미엔) 전공필수/광고PR조사방법론(COM3208)의대체과목",
2024 학년도,동계학기,대학,수학과,MAT2010,01,집합론,조회,3.0,"월,화,수,목,금 13:00~15:45 [K309]",6.0,김순영,21,,,,,,,,,,전학년,2학년,,,
2024 학년도,동계학기,대학,수학과,MAT2110,01,선형대수학,조회,3.0,"월,화,수,목,금 13:00~15:45 [K301]",6.0,한상현,61,,,,,,,,,,전학년,2학년,,,
2024 학년도,동계학기,대학,수학과,MAT2120,01,정수론,조회,3.0,"월,화,수,목,금 09:00~11:45 [K309]",6.0,김지현,18,,,,,,,,,,전학년,2학년,,,
2024 학년도,동계학기,대학,수학과,MAT2230,01,미분방정식,조회,3.0,"월,화,수,목,금 13:00~15:45 [K201]",6.0,이영록,20,,,,,,,,,,전학년,2학년,,,
2024 학년도,동계학기,대학,수학과,MAT2410,01,응용수학I,조회,3.0,"월,화,수,목,금 13:00~15:45 [K203]",6.0,김현정,36,,,,,,,,,,전학년,2학년,,통계학입문(MAT3020)과 동등한 과목,컴퓨터공학전공은 응용수학I만 수강 가능. 본 과목은 통계학입문(MAT3020)과 내용이 동일함.
2024 학년도,동계학기,대학,수학과,MAT3020,01,통계학입문,조회,3.0,"월,화,수,목,금 09:00~11:45 [K306]",6.0,임경필,9,,,,,,,,,,전학년,2학년,,응용수학I(MAT2410)과 동등한 과목임,
2024 학년도,동계학기,대학,기계공학과,MEE4070,01,기계공학현장실습,,3.0,,,강성원,3,,,O,,,,,,,전학년,3-4학년,,"과목평가:S/U, (구)기계공학인턴쉽I",현장실습과목
2024 학년도,동계학기,대학,경영학부(경영학전공),MGT2002,01,경영통계학,조회,3.0,"월,화,수,목,금 13:00~15:45 [MA203]",6.0,정예숙,25,,,,,,,,,,전학년,1학년,"수학과(불가능),컴퓨터공학과(불가능)","수학,컴공전공자,통계학입문수강자 불가(통계학입문,경제통계학으로대체가능)",
2024 학년도,동계학기,대학,경영학부(경영학전공),MGT2003,01,회계학원론,조회,3.0,"월,화,수,목,금 09:00~11:45 [MA202]",6.0,천준범,47,,,,,,,,,,전학년,1-2학년,,,
