학년도,학기,소속,학과,과목번호,분반,과목명,강의계획서,학점,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,Honors과목,공학인증,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고,수업일자,요일,시작시간,종료시간,강의실
2023 학년도,1학기,대학,아트&테크놀로지학과,AAT2002,01,Humanities & creativity,조회,3.0,3.0,정지수,34,O,,,,,,,,,"[1, 2, 3, 4]","[1, 2, 3, 4]",,구) ANT2003,수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한,,['월'],13:30,16:15,X514
2023 학년도,1학기,대학,아트&테크놀로지학과,AAT2004,01,Intro to Creative Computing,조회,3.0,3.0,김지원,36,O,,,,,,,,,"[2, 3, 4]","[1, 2, 3, 4]",,구) ANT2010,수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한,,"['화', '목']",09:00,10:15,X513
2023 학년도,1학기,대학,아트&테크놀로지학과,AAT2004,02,Intro to Creative Computing,조회,3.0,3.0,김지원,39,O,,,,,,,,,"[2, 3, 4]","[1, 2, 3, 4]",,구) ANT2010,수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한,,"['화', '목']",10:30,11:45,X513
2023 학년도,1학기,대학,아트&테크놀로지학과,AAT2005,01,Creative Capstone Project I(캡스톤디자인),조회,3.0,3.0,"최용순, 김상용, 주진호",13,,,,,,,,,,"[3, 4]","[3, 4]","아트&테크놀로지학과,아트&테크놀로지학과(1전공 가능)",구) ANT4020,"1전공만으로 수강제한, 개별연구지도 과목",,['금'],16:30,19:00,X427
2023 학년도,1학기,대학,아트&테크놀로지학과,AAT2006,01,Creative Capstone Project II(캡스톤디자인),조회,3.0,3.0,"최용순, 김상용, 주진호",6,,,,,,,,,,"[3, 4]","[3, 4]","아트&테크놀로지학과,아트&테크놀로지학과(1전공 가능)",구) ANT4013,"1전공만으로 수강제한, 개별연구지도 과목",,['금'],16:30,19:00,X427
2023 학년도,1학기,대학,아트&테크놀로지학과,AAT2008,01,Foundations of Human-Computer Interaction,조회,3.0,3.0,주진호,36,O,,,,,,,,,"[2, 3, 4]","[2, 3, 4]",,,수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한,,"['월', '수']",10:30,11:45,X423
2023 학년도,1학기,대학,아트&테크놀로지학과,AAT2009,01,Interactive Storytelling,조회,3.0,3.0,김상용,34,O,,,,,,,,,"[2, 3, 4]","[2, 3, 4]",,전공필수대체과목(2015-2018학번),수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한,,"['수', '금']",13:30,14:45,X429
2023 학년도,1학기,대학,아트&테크놀로지학과,AAT3002,01,Content Planning & Development,조회,3.0,3.0,김은진,27,O,,,,,,,,,"[2, 3, 4]","[3, 4]",,"구)CONTENT PLANNING, DEVELOPMENT & BUSINE",수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한,,['월'],13:30,16:15,X429
2023 학년도,1학기,대학,아트&테크놀로지학과,AAT3003,01,Digital Fabrication(캡스톤디자인),조회,3.0,3.0,최용순,36,O,,,,,,,,,"[2, 3, 4]","[2, 3, 4]",,구)ANT2009실감형콘텐츠프로젝트/인터랙션을위한센싱및인터페이스(ANT4,수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한,,"['화', '목']",16:30,17:45,X513
2023 학년도,1학기,대학,아트&테크놀로지학과,AAT3004,01,Intro to Sonic Art,조회,3.0,3.0,오예민,47,O,,,,,,,,,"[2, 3, 4]","[2, 3, 4]",,,수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한,,['금'],10:30,13:15,X513
2023 학년도,1학기,대학,아트&테크놀로지학과,AAT3010,01,Visual Story,조회,3.0,3.0,김상용,30,O,,,,,,,,,"[2, 3, 4]","[1, 2]",,,수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한,,"['화', '목']",16:30,17:45,X429
2023 학년도,1학기,대학,아트&테크놀로지학과,AAT3015,01,3D Modeling,조회,3.0,3.0,이형기,27,O,,,,,,,,,"[2, 3, 4]","[2, 3, 4]",,구)3D MODELING STUDIO,수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한,,['금'],10:30,13:15,X423
2023 학년도,1학기,대학,아트&테크놀로지학과,AAT3020,01,Natural Language Processing,조회,3.0,3.0,정다샘,26,O,,,,,,,,,"[2, 3, 4]","[2, 3, 4]",,MAS2009의 대체과목,수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한,,"['화', '목']",15:00,16:15,X423
2023 학년도,1학기,대학,아트&테크놀로지학과,AAT4002,01,Advanced Web Development(캡스톤디자인),조회,3.0,3.0,정문열,7,,,,,,,,,,"[2, 3, 4]","[2, 3, 4]",,"구) ANT3003, 구)WEB STUDIO,ADVANCED WEB DE",수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한,,"['월', '수']",16:30,17:45,GA110
2023 학년도,1학기,대학,아트&테크놀로지학과,AAT4005,01,Games & Interactive Media,조회,3.0,3.0,김은진,13,O,,,,,,,,,"[3, 4]","[3, 4]",,구)GAME STUDIO,수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한,,"['월', '수']",16:30,17:45,X513
2023 학년도,1학기,대학,아트&테크놀로지학과,AAT4008,01,Visual Effects,조회,3.0,3.0,이형기,25,O,,,,,,,,,"[2, 3, 4]","[3, 4]",,구)VFX STUDIO,수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한,,['월'],13:30,16:15,X513
2023 학년도,1학기,대학,아트&테크놀로지학과,AATG001,01,Metaverse: Design & Development(캡스톤디자인),조회,3.0,3.0,정문열,1,,,,,,,,,,"[2, 3, 4]","[3, 4]",,"AAT4010의 대체과목, 구)METAVERSE: DESIGN & DEV","학석사연계과목, 수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한",,['금'],13:30,16:15,GA704
2023 학년도,1학기,대학,아트&테크놀로지학과,AATG013,01,Deep Learning & Computer Vision,조회,3.0,3.0,이상욱,16,,,,,,,,,,"[1, 2, 3, 4]","[3, 4]",,구)AAT4013,"학석사연계과목, 수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한",,"['화', '목']",13:30,14:45,GA401
2023 학년도,1학기,대학,아트&테크놀로지학과,AATG015,01,Deep learning for Music & Audio,조회,3.0,3.0,정다샘,19,,,,,,,,,,"[3, 4]","[3, 4]",,,"학석사연계과목, 수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한",,['월'],13:30,16:15,X423
2023 학년도,1학기,대학,아트&테크놀로지학과,AATG104,01,Media Aesthetics,조회,3.0,3.0,주진호,28,,,,,,,,,,"[3, 4]","[3, 4]",,"AAT3001(구,ANT2001)의 대체과목, 전공필수대체과목(2015-","학석사연계과목, 수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한",,['화'],13:30,16:15,X429
2023 학년도,1학기,대학,아트&테크놀로지학과,AATG800,01,Creative Entrepreneurship,조회,3.0,3.0,이용덕,8,,,,,,,,,,"[3, 4]","[3, 4]",,"AAT3011의 대체과목, 전공필수대체과목(2015-2018학번)","학석사연계과목, 수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한",,['목'],13:30,16:15,X427
2023 학년도,1학기,대학,인공지능학과,AIE2050,01,컴퓨터프로그래밍I,조회,3.0,3.0,이주호,14,O,,,,"[2,4,6,8,0]",,,,,[1],[1],인공지능학과(1전공 가능),,"""합반 : CSE2003-01
인공지능학 1전공자만 수강가능
(학번 끝자리가 짝수)""",,"['화', '목']",13:30,14:45,D105
2023 학년도,1학기,대학,인공지능학과,AIE2050,02,컴퓨터프로그래밍I,조회,3.0,3.0,이주호,14,O,,,,"[1,3,5,7,9]",,,,,[1],[1],인공지능학과(1전공 가능),,"""합반 : CSE2003-02
인공지능학 1전공자만 수강가능
(학번 끝자리가 홀수)""",,"['화', '목']",15:00,16:15,D105
2023 학년도,1학기,대학,인공지능학과,AIEG100,01,기초딥러닝,조회,3.0,3.0,낭종호,2,,,,,,,,,,[4],"[3, 4]",,,"""학석사연계과목
합반 : CSEG463-01""",,"['월', '수']",12:00,13:15,K304
2023 학년도,1학기,대학,인공지능학과,AIEG102,01,패턴인식,조회,3.0,3.0,박운상,1,O,,,,,,,,,[4],[4],,,"""학석사연계과목
합반 : CSEG416-01""",,"['화', '목']",13:30,14:45,AS414
2023 학년도,1학기,대학,인공지능학과,AIEG107,01,음성인식,조회,3.0,3.0,김지환,2,,,,,,,,,,"[3, 4]","[3, 4]",,,"""학석사연계과목
합반 : CSEG311-01""",,"['월', '수']",16:30,17:45,K304
2023 학년도,1학기,대학,미국문화전공,AMC2020,01,문화와글쓰기,조회,3.0,3.0,윤성오,17,O,,,,,,,,,"[1, 2, 3, 4]","[1, 2, 3, 4]",,,"전학년 수강 가능, 교환학생 수강불가",,"['수', '금']",13:30,14:45,J202
2023 학년도,1학기,대학,미국문화전공,AMC2031,01,미국학입문,조회,3.0,3.0,부경숙,12,O,,,,,,,,,[1],"[1, 2, 3, 4]",,구 문화연구입문,1학년 수강 가능,,"['월', '수']",10:30,11:45,J207
2023 학년도,1학기,대학,미국문화전공,AMC2031,02,미국학입문,조회,3.0,3.0,박상기,12,O,,,,,,,,,"[2, 3, 4]","[1, 2, 3, 4]",,구 문화연구입문,234학년 수강 가능,,"['화', '목']",15:00,16:15,J215
2023 학년도,1학기,대학,미국문화전공,AMC2033,01,미국문화사,조회,3.0,3.0,안학영,39,O,,,,,,,,,"[1, 2, 3, 4]","[1, 2, 3, 4]",,구 미국역사와문화,전학년 수강 가능,,"['화', '목']",10:30,11:45,J327
2023 학년도,1학기,대학,미국문화전공,AMC3014,01,번역연습,조회,3.0,3.0,김혜진,18,O,,,,,,,,,"[2, 3, 4]","[2, 3, 4]",,구)AMC2014,"234학년 수강 가능, 교환학생 수강불가/디지털인문학연계전공 교과목",,"['월', '수']",16:30,17:45,J215
2023 학년도,1학기,대학,미국문화전공,AMC3036,01,미국의아이콘들,조회,3.0,3.0,부경숙,22,O,,,,,,,,,"[2, 3, 4]","[1, 2, 3, 4]",,,234학년 수강 가능,,"['월', '수']",12:00,13:15,J207
2023 학년도,1학기,대학,미국문화전공,AMC3050,01,미국영화장르연구,조회,3.0,3.0,"Hantke, Steffen Horst",36,O,,,,,,,,,"[2, 3, 4]","[2, 3, 4]",,,234학년 수강 가능,,"['화', '목']",12:00,13:15,J307
2023 학년도,1학기,대학,미국문화전공,AMC3065,01,세계속의미국문화,조회,3.0,3.0,윤성오,21,O,,,,,,,,,"[2, 3, 4]","[2, 3, 4]",,,234학년 수강 가능,,"['수', '금']",15:00,16:15,J219
2023 학년도,1학기,대학,미국문화전공,AMC3096,01,계층과미국문화,조회,3.0,3.0,"Hantke, Steffen Horst",19,O,,,,,,,,,"[2, 3, 4]","[2, 3, 4]",,구 대중문화연구,234학년 수강 가능,,"['화', '목']",09:00,10:15,J307
2023 학년도,1학기,대학,미국문화전공,AMC4125,01,인간과과학기술,조회,3.0,3.0,박상기,39,O,,,,,,O,,,"[2, 3, 4]","[2, 3, 4]",,,234학년 수강 가능/디지털인문학연계전공 교과목,,"['화', '목']",13:30,14:45,J219
2023 학년도,1학기,대학,미국문화전공,AMC4135,01,젠더세미나,조회,3.0,3.0,안학영,31,O,,,,,,O,,,"[2, 3, 4]","[2, 3, 4]",,,234학년 수강 가능,,"['화', '목']",16:30,17:45,J215
2023 학년도,1학기,대학,빅데이터사이언스연계전공,BDS3010,01,빅데이터컴퓨팅,조회,3.0,3.0,문현아,28,,,,,,,,,,"[3, 4]","[3, 4]",,,,,['월'],13:30,16:15,D104
2023 학년도,1학기,대학,생명과학과,BIO1101,01,일반생물학I,조회,3.0,3.0,김종찬,50,,,,,,,,,,"[1, 2, 3, 4]",[1],생명과학과(1전공 불가능),,*생명과학 제1전공 수강불가,,"['월', '수']",10:30,11:45,K212
2023 학년도,1학기,대학,생명과학과,BIO1101,02,일반생물학I,조회,3.0,3.0,"Lee, Hosuk Sean",57,O,,,,,,,,,"[1, 2, 3, 4]",[1],생명과학과(1전공 불가능),,*생명과학 제1전공 수강불가,,"['월', '수']",12:00,13:15,K405
2023 학년도,1학기,대학,생명과학과,BIO1101,03,일반생물학I,조회,3.0,3.0,주봉건,63,,,,,,,,,,"[1, 2, 3, 4]",[1],생명과학과(1전공 가능),,*(생명전용반)생명과학 제1전공만 수강가능,,"['화', '목']",10:30,11:45,K305
2023 학년도,1학기,대학,생명과학과,BIO1101,04,일반생물학I,조회,3.0,3.0,김건수,37,,,,,,,,,,"[1, 2, 3, 4]",[1],생명과학과(1전공 불가능),,*(생명전용반)생명과학 제1전공만 수강가능,,"['화', '목']",12:00,13:15,K306
2023 학년도,1학기,대학,생명과학과,BIO1101,05,일반생물학I,조회,3.0,3.0,이규호,40,,,,,,,,,,"[1, 2, 3, 4]",[1],생명과학과(1전공 불가능),,*생명과학 제1전공 수강불가,,"['화', '목']",13:30,14:45,K305
2023 학년도,1학기,대학,생명과학과,BIO1105,01,일반생물학실험I,조회,1.0,3.0,"Lee, Hosuk Sean",16,O,,,,,,,,,"[1, 2, 3, 4]",[1],,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능),,['월'],13:30,16:15,K213
2023 학년도,1학기,대학,생명과학과,BIO1105,02,일반생물학실험I,조회,1.0,3.0,"Lee, Hosuk Sean",16,O,,,,,,,,,"[1, 2, 3, 4]",[1],,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능),,['월'],16:30,19:15,K213
2023 학년도,1학기,대학,생명과학과,BIO1105,03,일반생물학실험I,조회,1.0,3.0,주봉건,16,,,,,,,,,,"[1, 2, 3, 4]",[1],,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능),,['화'],13:30,16:15,K213
2023 학년도,1학기,대학,생명과학과,BIO1105,04,일반생물학실험I,조회,1.0,3.0,이규호,16,,,,,,,,,,"[1, 2, 3, 4]",[1],,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능),,['화'],16:30,19:15,K213
2023 학년도,1학기,대학,생명과학과,BIO1105,05,일반생물학실험I,조회,1.0,3.0,김종찬,16,,,,,,,,,,"[1, 2, 3, 4]",[1],,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능),,['수'],13:30,16:15,K213
2023 학년도,1학기,대학,생명과학과,BIO1105,06,일반생물학실험I,조회,1.0,3.0,김정호,8,,,,,,,,,,"[1, 2, 3, 4]",[1],,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능),,['수'],16:30,19:15,K213
2023 학년도,1학기,대학,생명과학과,BIO1105,07,일반생물학실험I,조회,1.0,3.0,서미정,12,,,,,,,,,,"[1, 2, 3, 4]",[1],,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능),,['목'],13:30,16:15,K213
2023 학년도,1학기,대학,생명과학과,BIO1105,08,일반생물학실험I,조회,1.0,3.0,정광환,16,,,,,,,,,,"[1, 2, 3, 4]",[1],,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능),,['목'],16:30,19:15,K213
2023 학년도,1학기,대학,생명과학과,BIO1105,09,일반생물학실험I,조회,1.0,3.0,이정하,16,,,,,,,,,,"[1, 2, 3, 4]",[1],,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능),,['금'],13:30,16:15,K213
2023 학년도,1학기,대학,생명과학과,BIO1105,10,일반생물학실험I,조회,1.0,3.0,김정호,11,,,,,,,,,,"[1, 2, 3, 4]",[1],,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능),,['금'],16:30,19:15,K213
2023 학년도,1학기,대학,생명과학과,BIO2121,01,현대생물학실험I,조회,3.0,5.0,신형두,16,,,,,,,,,,"[2, 3, 4]",[2],,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능),,['월'],13:30,18:20,R204
2023 학년도,1학기,대학,생명과학과,BIO2121,02,현대생물학실험I,조회,3.0,5.0,이정하,15,,,,,,,,,,"[2, 3, 4]",[2],,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능),,['화'],13:30,18:20,R204
2023 학년도,1학기,대학,생명과학과,BIO2121,03,현대생물학실험I,조회,3.0,5.0,이갑열,16,,,,,,,,,,"[2, 3, 4]",[2],,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능),,['수'],13:30,18:20,R204
2023 학년도,1학기,대학,생명과학과,BIO2121,04,현대생물학실험I,조회,3.0,5.0,허진영,16,,,,,,,,,,"[2, 3, 4]",[2],,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능),,['목'],13:30,18:20,R204
2023 학년도,1학기,대학,생명과학과,BIO2131,01,생화학I,조회,3.0,3.0,정광환,69,,,,,,,,,,"[1, 2, 3, 4]",[2],,,,,"['수', '금']",09:00,10:15,K303
2023 학년도,1학기,대학,생명과학과,BIO2141,01,세포학,조회,3.0,3.0,이갑열,66,,,,,,,,,,"[1, 2, 3, 4]",[2],,,,,"['화', '목']",09:00,10:15,K212
2023 학년도,1학기,대학,생명과학과,BIO2311,01,생명유기화학,조회,3.0,3.0,서미정,43,,,,,,,,,,"[1, 2, 3, 4]",[2],,,,,"['월', '수']",12:00,13:15,K208
2023 학년도,1학기,대학,생명과학과,BIO2601,01,유전자클로닝개론,조회,3.0,3.0,김정호,50,,,,,,,,,,"[1, 2, 3, 4]",[2],,,,,"['수', '금']",09:00,10:15,K212
2023 학년도,1학기,대학,생명과학과,BIO3123,01,현대생물학실험III,조회,3.0,5.0,김건수,16,,,,,,,,,,"[2, 3, 4]",[3],,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능),,['월'],13:30,18:20,R210
2023 학년도,1학기,대학,생명과학과,BIO3123,02,현대생물학실험III,조회,3.0,5.0,이병하,13,,,,,,,,,,"[2, 3, 4]",[3],,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능),,['화'],13:30,18:20,R210
2023 학년도,1학기,대학,생명과학과,BIO3123,03,현대생물학실험III,조회,3.0,5.0,정광환,15,,,,,,,,,,"[2, 3, 4]",[3],,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능),,['수'],13:30,18:20,R210
2023 학년도,1학기,대학,생명과학과,BIO3123,04,현대생물학실험III,조회,3.0,5.0,주봉건,12,,,,,,,,,,"[2, 3, 4]",[3],,,*분반조정 모임 폐지(인터넷으로만 수강신청 및 변경가능),,['목'],13:30,18:20,R210
2023 학년도,1학기,대학,생명과학과,BIO3212,01,생명공학개론,조회,3.0,3.0,"Lee, Hosuk Sean",50,O,,,,,,,,,"[1, 2, 3, 4]","[3, 4]",,,,,"['화', '목']",10:30,11:45,K405
2023 학년도,1학기,대학,생명과학과,BIO3712,01,미생물생리학,조회,3.0,3.0,이규호,23,,,,,,,,,,"[1, 2, 3, 4]","[3, 4]",,구BIO5712,,,"['월', '수']",10:30,11:45,K406
2023 학년도,1학기,대학,생명과학과,BIO4203,01,생명과학특허와기술이전,조회,1.0,1.0,김현진,9,,,,,,,,,,"[1, 2, 3, 4]","[3, 4]",,전공학점으로 인정되지 않음.(총학점에는 포함됨),"""*전공학점 불포함, 졸업학점 포함
*물리/화학 특허와 기술이전 과목과 중복수강 불가""",,['화'],15:00,15:50,K208
2023 학년도,1학기,대학,생명과학과,BIO4252,01,암생물학,조회,3.0,3.0,김정호,52,,,,,,,,,,"[1, 2, 3, 4]",[4],,,,,"['화', '목']",09:00,10:15,K305
2023 학년도,1학기,대학,생명과학과,BIO4321,01,인체생리학,조회,3.0,3.0,이정하,32,,,,,,,,,,"[1, 2, 3, 4]","[3, 4]",,,,,"['화', '목']",10:30,11:45,K306
2023 학년도,1학기,대학,생명과학과,BIO4521,01,식물발달생물학,조회,3.0,3.0,이병하,39,O,,,,,,,,,"[1, 2, 3, 4]",[4],,,,,"['월', '수']",10:30,11:45,K405
2023 학년도,1학기,대학,생명과학과,BIO4931,01,응용바이오기술실험,조회,3.0,,신형두,9,,,,,,,,,,[4],[4],,*특수연구와 동시수강 불가 *7학기 이상 수강가능,"""*전공과목으로 전공학점에 포함
*특수연구와 동일학기 수강불가
*7학기 이상 수강가능""",,[],,,
2023 학년도,1학기,대학,바이오융합기술 연계전공,BNTG006,01,바이오기술과투자기초,조회,3.0,3.0,"Lee, Hosuk Sean, 김도성",4,,,,,,,,,,"[2, 3, 4]","[3, 4]","경제대학,경영대학(불가능)",대학원 초급과목(구 기술과경제정책),"학석사연계과목, 경영학과나 경제학과 학생 수강 불허",,"['화', '목']",16:30,17:45,K204
2023 학년도,1학기,대학,바이오융합기술 연계전공,BNTG011,01,분자유전체공학,조회,3.0,3.0,조규봉,6,,,,,,,,,,"[1, 2, 3, 4]","[1, 2, 3, 4]",,,학석사연계과목,,"['수', '금']",15:00,16:15,K509
2023 학년도,1학기,대학,바이오융합기술 연계전공,BNTG031,01,지식재산권과특허,조회,3.0,3.0,김현진,13,,,,,,,,,,"[3, 4]","[3, 4]",,"대학원초급과목,구BNT5031",학석사연계과목,,['화'],16:30,19:15,K509
2023 학년도,1학기,대학,화공생명공학과,CBE2004,01,물리화학,조회,3.0,3.0,강문성,68,O,,,,"[1,3,5,7,9]",,,,,"[1, 2, 3, 4]",[2],,,홀수 학번만 수강,,"['수', '금']",13:30,14:45,K401
2023 학년도,1학기,대학,화공생명공학과,CBE2004,02,물리화학,조회,3.0,3.0,백서인,57,O,,,,"[2,4,6,8,0]",,,,,"[1, 2, 3, 4]",[2],,,"짝수 학번만 수강, 화학과 수강불가(화공생명공학 다전공자의 경우, 물리화학I (CHM2201) 수강을 본 과목의 수강으로 인정함)",,"['수', '금']",09:00,10:15,K403
2023 학년도,1학기,대학,화공생명공학과,CBE2005,01,응용유기화학,조회,3.0,3.0,강태욱,58,O,,,,"[1,3,5,7,9]",,,,,"[1, 2, 3, 4]",[2],화학과(불가능),,"홀수 학번만 수강,화학전공 학생 수강불가",,"['월', '수']",10:30,11:45,AS303
2023 학년도,1학기,대학,화공생명공학과,CBE2005,02,응용유기화학,조회,3.0,3.0,박제영,60,O,,,,"[2,4,6,8,0]",,,,,"[1, 2, 3, 4]",[2],화학과(불가능),,"짝수 학번만 수강, 화학전공 학생 수강불가",,"['화', '목']",09:00,10:15,AS301
2023 학년도,1학기,대학,화공생명공학과,CBE2007,01,응용생화학,조회,3.0,3.0,오병근,57,,,,,"[1,3,5,7,9]",,,,,"[1, 2, 3, 4]",[2],,,홀수 학번만 수강,,"['화', '목']",13:30,14:45,K307
2023 학년도,1학기,대학,화공생명공학과,CBE2007,02,응용생화학,조회,3.0,3.0,나정걸,66,O,,,,"[2,4,6,8,0]",,,,,"[1, 2, 3, 4]",[2],,,짝수 학번만 수강,,"['화', '목']",10:30,11:45,AS303
2023 학년도,1학기,대학,화공생명공학과,CBE2011,01,화공수학I,조회,3.0,3.0,류재건,52,O,,,,"[1,3,5,7,9]",,,,,"[1, 2, 3, 4]","[1, 2, 3, 4]",화공생명공학과(가능),화공생명공학전공 학생만 수강 가능,"홀수 학번만 수강,화공생명공학전공 학생만 수강 가능",,"['월', '수']",16:30,17:45,AS303
2023 학년도,1학기,대학,화공생명공학과,CBE2011,02,화공수학I,조회,3.0,3.0,최진훈,53,O,,,,"[2,4,6,8,0]",,,,,"[1, 2, 3, 4]","[1, 2, 3, 4]",화공생명공학과(가능),화공생명공학전공 학생만 수강 가능,"짝수 학번만 수강,화공생명공학전공 학생만 수강 가능",,"['화', '목']",12:00,13:15,K307
2023 학년도,1학기,대학,화공생명공학과,CBE3002,01,공정열역학,조회,3.0,3.0,임종성,87,,,,,,,,,,"[1, 2, 3, 4]",[3],,선수과목 : CBE3001 화공열역학,,,"['화', '목']",13:30,14:45,K304
2023 학년도,1학기,대학,화공생명공학과,CBE3003,01,반응공학,조회,3.0,3.0,김충익,75,O,,,,"[1,3,5,7,9]",,,,,"[1, 2, 3, 4]",[3],,선수과목 : CBE2002 창의설계,홀수 학번만 수강,,"['화', '목']",12:00,13:15,K202
2023 학년도,1학기,대학,화공생명공학과,CBE3003,02,반응공학,조회,3.0,3.0,하경수,54,O,,,,"[2,4,6,8,0]",,,,,"[1, 2, 3, 4]",[3],,선수과목 : CBE2002 창의설계,짝수 학번만 수강,,"['월', '수']",10:30,11:45,K304
2023 학년도,1학기,대학,화공생명공학과,CBE3007,01,고분자공학,조회,3.0,3.0,김정욱,49,O,,,,"[1,3,5,7,9]",,,,,"[1, 2, 3, 4]",[3],,"선수과목 : CBE2002 창의설계, CBE2005 응용유기화학",홀수 학번만 수강,,"['화', '목']",16:30,17:45,AS510
2023 학년도,1학기,대학,화공생명공학과,CBE3007,02,고분자공학,조회,3.0,3.0,김형준,66,O,,,,"[2,4,6,8,0]",,,,,"[1, 2, 3, 4]",[3],,"선수과목 : CBE2002 창의설계, CBE2005 응용유기화학",짝수 학번만 수강,,"['월', '수']",16:30,17:45,AS301
2023 학년도,1학기,대학,화공생명공학과,CBE3019,01,화공생명공학 세미나,조회,2.0,2.0,박제영,120,,,,,,,,,,"[1, 2, 3, 4]",[3],,(구)화공산업과기술경영-기업가정신,"성적평가:S/U,화공산업과기술경영(CBEG005) 대체과목",,['목'],16:30,18:15,R404
2023 학년도,1학기,대학,화공생명공학과,CBE3304,01,연구프로젝트Ⅳ,조회,3.0,3.0,강태욱,4,,,,,,,,,,"[1, 2, 3, 4]","[3, 4]",,,,,[],,,
2023 학년도,1학기,대학,화공생명공학과,CBE3304,02,연구프로젝트Ⅳ,조회,3.0,3.0,김충익,14,,,,,,,,,,"[3, 4]","[3, 4]",,,,,[],,,
2023 학년도,1학기,대학,화공생명공학과,CBE3304,03,연구프로젝트Ⅳ,조회,3.0,3.0,김정욱,17,,,,,,,,,,"[3, 4]","[3, 4]",,,,,[],,,
2023 학년도,1학기,대학,화공생명공학과,CBE3304,04,연구프로젝트Ⅳ,조회,3.0,3.0,하경수,7,,,,,,,,,,"[1, 2, 3, 4]","[3, 4]",,,,,[],,,
2023 학년도,1학기,대학,화공생명공학과,CBE3304,05,연구프로젝트Ⅳ,조회,3.0,3.0,강문성,6,,,,,,,,,,"[1, 2, 3, 4]","[3, 4]",,,,,[],,,
2023 학년도,1학기,대학,화공생명공학과,CBE3304,06,연구프로젝트Ⅳ,조회,3.0,3.0,김형준,16,,,,,,,,,,"[1, 2, 3, 4]","[3, 4]",,,,,[],,,
2023 학년도,1학기,대학,화공생명공학과,CBE3304,07,연구프로젝트Ⅳ,조회,3.0,3.0,나정걸,13,,,,,,,,,,"[1, 2, 3, 4]","[3, 4]",,,,,[],,,
2023 학년도,1학기,대학,화공생명공학과,CBE3304,08,연구프로젝트Ⅳ,조회,3.0,3.0,류재건,10,,,,,,,,,,"[1, 2, 3, 4]","[3, 4]",,,,,[],,,
2023 학년도,1학기,대학,화공생명공학과,CBE4001,01,화공생명공학심화종합설계Ⅱ(캡스톤디자인),,3.0,3.0,최정우,17,,,,,,,,,,"[1, 2, 3, 4]",[4],,,,,['월'],13:30,16:15,K307
2023 학년도,1학기,대학,화공생명공학과,CBE4011,01,전기화학,조회,3.0,3.0,박흥목,76,,,,,,,,,,"[1, 2, 3, 4]","[3, 4]",,,,,['금'],10:30,13:15,K401
2023 학년도,1학기,대학,화공생명공학과,CBE4013,01,생물화학공학,조회,3.0,3.0,최정우,51,,,,,"[1,3,5,7,9]",,,,,"[1, 2, 3, 4]",[3],,선수과목 : CBE2002 창의설계,홀수 학번만 수강,,"['화', '목']",15:00,16:15,AS412
