학년도,학기,소속,학과,과목번호,분반,과목명,강의계획서,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,Honors과목,공학인증,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2024 학년도,2학기,대학,게페르트국제학부,AAS1001,01,아시아학 개론,조회,3.0,"화,목 12:00~13:15 [J107]",3.0,김소연,48,O,,,,,,,,,전학년,1-4학년,,,
2024 학년도,2학기,대학,아트&테크놀로지학과,AAT2002,01,Humanities & creativity,조회,3.0,월 13:30~16:15 [X514],3.0,정지수,21,O,,,,,,,,,전학년,1-4학년,,구) ANT2003,
2024 학년도,2학기,대학,아트&테크놀로지학과,AAT2003,01,Intro to Digital Arts,조회,3.0,월 13:30~16:15 [X513],3.0,이형기,31,O,,,,,,,,,"2,3,4학년",1-4학년,,구) ANT2004,
2024 학년도,2학기,대학,아트&테크놀로지학과,AAT2004,01,Intro to Creative Computing,조회,3.0,"수,금 09:00~10:15 [X513]",3.0,김지원,40,O,,,,,,,,,"2,3,4학년",1-4학년,,구) ANT2010,
2024 학년도,2학기,대학,아트&테크놀로지학과,AAT2005,01,Creative Capstone Project I(캡스톤디자인),조회,3.0,금 16:30~19:00 [X427],3.0,"최용순, 오준호, 김상용, 정다샘",18,,,,,,,,,,"3,4학년",3-4학년,,구) ANT4020,
2024 학년도,2학기,대학,아트&테크놀로지학과,AAT2006,01,Creative Capstone Project II(캡스톤디자인),조회,3.0,금 16:30~19:00 [X427],3.0,"최용순, 오준호, 김상용, 정다샘",17,,,,,,,,,,"3,4학년",3-4학년,,구) ANT4013,
2024 학년도,2학기,대학,아트&테크놀로지학과,AAT2008,01,Foundations of Human-Computer Interaction,조회,3.0,금 10:30~13:15 [X429],3.0,이승언,37,O,,,,,,,,,"2,3,4학년",2-4학년,,,
2024 학년도,2학기,대학,아트&테크놀로지학과,AAT3005,01,Visual Design,조회,3.0,"화,목 15:00~16:15 [X429]",3.0,최용순,39,O,,,,,,,,,"2,3,4학년",1-2학년,,,
2024 학년도,2학기,대학,아트&테크놀로지학과,AAT3007,01,Network Media,조회,3.0,금 10:30~13:15 [X513],3.0,김지원,40,O,,,,,,,,,"2,3,4학년",2-4학년,,구)INTRO TO WEB DEVELOPMENT,
2024 학년도,2학기,대학,아트&테크놀로지학과,AAT3008,01,Creative Algorithms,조회,3.0,"화,목 10:30~11:45 [X513]",3.0,김주섭,20,O,,,,,,,,,"2,3,4학년",1-2학년,,,
2024 학년도,2학기,대학,아트&테크놀로지학과,AAT3009,01,Sound Production,조회,3.0,"수,금 13:30~14:45 [X423]",3.0,오예민,35,O,,,,,,,,,"2,3,4학년",3-4학년,,구)SOUND DESIGN,
2024 학년도,2학기,대학,아트&테크놀로지학과,AAT3010,01,Visual Story,조회,3.0,"화,목 16:30~17:45 [X429]",3.0,김상용,28,O,,,,,,,,,"2,3,4학년",1-2학년,,,
2024 학년도,2학기,대학,아트&테크놀로지학과,AAT3016,01,UI/UX Design(캡스톤디자인),조회,3.0,"화,목 16:30~17:45 [J215]",3.0,최용순,37,O,,,,,,,,,"2,3,4학년",3-4학년,,구)UI/UX DESIGN,
2024 학년도,2학기,대학,아트&테크놀로지학과,AAT4002,01,Advanced Web Development(캡스톤디자인),조회,3.0,"화,목 10:30~11:45 [X423]",3.0,남현우,3,,,,,,,,,,"2,3,4학년",2-4학년,,"구) ANT3003, 구)WEB STUDIO,ADVANCED WEB DE",
2024 학년도,2학기,대학,아트&테크놀로지학과,AAT4004,01,Interactive Media Arts(캡스톤디자인),조회,3.0,"월,수 10:30~11:45 [X428]",3.0,주진호,29,O,,,,,,,,,"2,3,4학년",3-4학년,,구)MEDIA ARTS STUDIO,
2024 학년도,2학기,대학,아트&테크놀로지학과,AAT4006,01,3D Animation,조회,3.0,금 10:30~13:15 [X423],3.0,이형기,30,O,,,,,,,,,"2,3,4학년",2-4학년,,구)3D ANIMATION STUDIO,
2024 학년도,2학기,대학,아트&테크놀로지학과,AAT4011,01,Immersive Media,조회,3.0,월 13:30~16:15 [X423],3.0,김민영,25,O,,,,,,,,,"2,3,4학년",3-4학년,,"구)ANT4012, 구)IMMERSIVE MEDIA STUDIO",
2024 학년도,2학기,대학,아트&테크놀로지학과,AATG106,01,Generative Audio Visualization,조회,3.0,수 10:30~13:15 [X423],3.0,오예민,19,,,,,,,,,,"2,3,4학년",3-4학년,,,
2024 학년도,2학기,대학,아트&테크놀로지학과,AATG800,01,Creative Entrepreneurship,조회,3.0,목 13:30~16:15 [X427],3.0,이용덕,2,,,,,,,,,,"2,3,4학년",3-4학년,,"AAT3011의 대체과목, 전공필수대체과목(2015-2018학번)",
2024 학년도,2학기,대학,인공지능학과,AIE2051,01,컴퓨터프로그래밍 II,조회,3.0,"수,금 13:30~14:45 [D105]",3.0,김지환,14,,,,,"[1,3,5,7,9]",,,,,"1,2학년",1학년,,선수과목:AIE2050,"합반 : CSE2035-01,인공지능학 1전공자만 수강가능(학번 끝자리가 홀수)"
2024 학년도,2학기,대학,인공지능학과,AIE2051,02,컴퓨터프로그래밍 II,조회,3.0,"화,목 12:00~13:15 [D105]",3.0,이주호,16,O,,,,"[2,4,6,8,0]",,,,,"1,2학년",1학년,,선수과목:AIE2050,"합반 : CSE2035-02,인공지능학 1전공자만 수강가능 (학번 끝자리가 짝수)"
2024 학년도,2학기,대학,인공지능학과,AIE2070,01,이산구조,조회,3.0,"월,수 10:30~11:45 [AS510]",3.0,장형수,8,,,,,"[1,4,7]",,,,,"1,2학년",1학년,,,"합반 : CSE3006-01,인공지능학 1전공자만 수강가능(학번 끝자리 1,4,7)"
2024 학년도,2학기,대학,인공지능학과,AIE2070,02,이산구조,조회,3.0,"수,금 09:00~10:15 [AS510]",3.0,장형수,6,,,,,"[2,5,9]",,,,,"1,2학년",1학년,,,"합반 : CSE3006-02,인공지능학 1전공자만 수강가능 (학번 끝자리 2,5,9)"
2024 학년도,2학기,대학,인공지능학과,AIE2070,03,이산구조,조회,3.0,"화,목 09:00~10:15 [K302]",3.0,이영민,12,,,,,"[3,6,8,0]",,,,,"1,2학년",1학년,,,"합반 : CSE3006-03,인공지능학 1전공자만 수강가능(학번 끝자리 3,6,8,0)"
2024 학년도,2학기,대학,인공지능학과,AIE3050,01,자료구조,조회,3.0,"월,수 10:30~11:45 [K201]",3.0,정성원,3,,,,,,,,,,2학년,2학년,,선수과목:AIE2051,"합반 : CSE3080-01,인공지능학 1전공자만 수강가능"
2024 학년도,2학기,대학,인공지능학과,AIE3051,01,알고리즘설계와분석,조회,3.0,"화,목 10:30~11:45 [AS414]",3.0,임인성,6,,,,,"[1,4,7]",,,,,2학년,2학년,,선수과목:AIE3050,"합반 : CSE3081-01,인공지능학 1전공자만 수강가능(학번 끝자리 1,4,7)"
2024 학년도,2학기,대학,인공지능학과,AIE3051,02,알고리즘설계와분석,조회,3.0,"화,목 13:30~14:45 [AS510]",3.0,김세준,6,O,,,,"[2,5,9]",,,,,2학년,2학년,,선수과목:AIE3050,"합반 : CSE3081-02,인공지능학 1전공자만 수강가능(학번 끝자리 2,5,9)"
2024 학년도,2학기,대학,인공지능학과,AIE3051,03,알고리즘설계와분석,조회,3.0,"월,수 12:00~13:15 [AS510]",3.0,장형수,6,,,,,"[3,6,8,0]",,,,,2학년,2학년,,선수과목:AIE3050,"합반 : CSE3081-03,인공지능학 1전공자만 수강가능(학번 끝자리 3,6,8,0)"
2024 학년도,2학기,대학,인공지능학과,AIE3052,01,JAVA언어,조회,3.0,"수,금 15:00~16:15 [K202]",3.0,김주호,6,O,,,,"[2,4,6,8,0]",,,,,2학년,2학년,,,"합반: CSE3040-01,인공지능학 1전공자만 수강가능(학번 끝자리 짝수)"
2024 학년도,2학기,대학,인공지능학과,AIE3052,02,JAVA언어,조회,3.0,"화,목 16:30~17:45 [K202]",3.0,장부루,8,O,,,,"[1,3,5,7,9]",,,,,2학년,2학년,,,"합반: CSE3040-02, 인공지능학 1전공자만 수강가능(학번 끝자리 홀수)"
2024 학년도,2학기,대학,인공지능학과,AIE3053,01,디지털회로개론,조회,3.0,"수,금 13:30~14:45 [K202]",3.0,김주호,9,,,,,"[2,4,6,8,0]",,,,,2학년,2학년,,,"합반 : CSE3015-01,인공지능학 1전공자만 수강가능(학번 끝자리 짝수)"
2024 학년도,2학기,대학,인공지능학과,AIE3053,02,디지털회로개론,조회,3.0,"화,목 12:00~13:15 [K301]",3.0,이혁준,9,,,,,"[1,3,5,7,9]",,,,,2학년,2학년,,,"합반 : CSE3015-02,인공지능학 1전공자만 수강가능(학번 끝자리 홀수)"
2024 학년도,2학기,대학,인공지능학과,AIE3090,02,인공지능실험,조회,3.0,금 15:00~20:50 [R912],6.0,장부루,16,,,,,,,,,,"2,3,4학년",2-4학년,,,"인공지능학 1전공자만 수강가능/* 전학년 수강신청기간 : 2,3,4학년 / 전공제한 없음"
2024 학년도,2학기,대학,인공지능학과,AIE3092,02,컴퓨터공학실험 II,조회,3.0,화 15:00~20:50 [AS714],6.0,박수용,1,,,,,,,,,,2학년,2학년,,,합반 : CSE3016-02/인공지능학 1전공자만 수강가능
2024 학년도,2학기,대학,인공지능학과,AIE3092,03,컴퓨터공학실험 II,조회,3.0,수 15:00~20:50 [AS714],6.0,낭종호,2,,,,,,,,,,2학년,2학년,,,합반 : CSE3016-03/인공지능학 1전공자만 수강가능
2024 학년도,2학기,대학,인공지능학과,AIE3092,04,컴퓨터공학실험 II,조회,3.0,목 15:00~20:50 [AS714],6.0,이혁준,2,,,,,,,,,,2학년,2학년,,,합반 : CSE3016-04/인공지능학 1전공자만 수강가능
2024 학년도,2학기,대학,인공지능학과,AIEG102,01,패턴인식,조회,3.0,"월,수 12:00~13:15 [AS414]",3.0,김경환,1,,,,,,,,,,"3,4학년",4학년,,,"학석사연계과목, 합반 : EEEG477"
2024 학년도,2학기,대학,인공지능학과,AIEG109,01,오디오인식및합성변환,조회,3.0,"월,수 12:00~13:15 [AS303]",3.0,김지환,3,,,,,,,,,,"3,4학년",3-4학년,,,"학석사연계과목, 합반 : CSEG109-01"
2024 학년도,2학기,대학,미국문화전공,AMC1011,01,전공진로설계Ⅰ,조회,,,,부경숙,0,,,,,,,,,,"2,3,4학년",1-4학년,,,제1전공자만 가능
2024 학년도,2학기,대학,미국문화전공,AMC1011,02,전공진로설계Ⅰ,,,,,박상기,1,,,,,,,,,,,1-4학년,,,
2024 학년도,2학기,대학,미국문화전공,AMC2020,01,문화와글쓰기,조회,3.0,"월,수 16:30~17:45 [J313]",3.0,이은경,19,O,,,,,,,,,전학년,1-4학년,,,"전학년 수강가능, 교환학생 수강불가/ 과목개설요청사유서"
2024 학년도,2학기,대학,미국문화전공,AMC2031,01,미국학입문,조회,3.0,"화,목 10:30~11:45 [J602]",3.0,박상기,24,O,,,,,,,,,전학년,1-4학년,,구 문화연구입문,전학년 수강가능
2024 학년도,2학기,대학,미국문화전공,AMC2033,01,미국문화사,조회,3.0,"화,목 09:00~10:15 [J327]",3.0,노재호,34,O,,,,,,,,,전학년,1-4학년,,구 미국역사와문화,전학년 수강가능
2024 학년도,2학기,대학,미국문화전공,AMC3040,01,대중음악,조회,3.0,"월,수 10:30~11:45 [J327]",3.0,노재호,41,O,,,,,,,,,"2,3,4학년",2-4학년,,,234학년 수강가능
2024 학년도,2학기,대학,미국문화전공,AMC3055,01,미국영화주제연구,조회,3.0,"수,금 09:00~10:15 [J202]",3.0,부경숙,11,O,,,,,,,,,"2,3,4학년",2-4학년,,,"부제; ALIENATION, 234학년 수강가능"
2024 학년도,2학기,대학,미국문화전공,AMC3058,01,팬터지문학과영화,조회,3.0,"화,목 12:00~13:15 [J327]",3.0,안학영,44,O,,,,,,,,,"2,3,4학년",2-4학년,,,234학년 수강가능
2024 학년도,2학기,대학,미국문화전공,AMC3070,01,문화적정체성,조회,3.0,"화,목 13:30~14:45 [J313]",3.0,박상기,29,O,,,,,,,,,"2,3,4학년",2-4학년,,,234학년 수강가능
2024 학년도,2학기,대학,미국문화전공,AMC4120,01,문화와정치,조회,3.0,"화,목 15:00~16:15 [J315]",3.0,박상기,24,O,,,,,,,,,"2,3,4학년",2-4학년,,,234학년 수강가능
2024 학년도,2학기,대학,미국문화전공,AMC4130,01,1960년대의저항문화,조회,3.0,"월,수 12:00~13:15 [J327]",3.0,노재호,33,O,,,,,,,,,"2,3,4학년",2-4학년,,,234학년 수강가능
2024 학년도,2학기,대학,미국문화전공,AMC4304,01,문화민주주의 현장 연구(캡스톤디자인),조회,3.0,금 10:30~13:15 [J202],3.0,부경숙,8,,,,,,,,,,"2,3,4학년",3-4학년,,,"타전공 수강가능, 교환학생 수강불가"
2024 학년도,2학기,대학,빅데이터사이언스연계전공,BDS3020,01,블록체인및응용,조회,3.0,월 13:30~16:15 [AS111],3.0,문현아,21,,,,,,,,,,"2,3,4학년",3-4학년,,,
2024 학년도,2학기,대학,빅데이터사이언스연계전공,BDS4010,01,빅데이터종합설계(캡스톤디자인),조회,3.0,금 10:30~13:15 [K212],3.0,최수진,37,,,,,,,,,,"3,4학년",4학년,,,
2024 학년도,2학기,대학,생명과학과,BIO1101,01,일반생물학I,조회,3.0,"화,목 15:00~16:15 [K309]",3.0,주봉건,25,,,,,,,,,,전학년,1학년,,,
2024 학년도,2학기,대학,생명과학과,BIO1102,01,일반생물학II,조회,3.0,"월,수 10:30~11:45 [K309]",3.0,이정하,29,,,,,,,,,,전학년,1학년,,,*생명과학 제1전공 수강불가
2024 학년도,2학기,대학,생명과학과,BIO1102,02,일반생물학II,조회,3.0,"화,목 09:00~10:15 [K307]",3.0,"Lee, Hosuk Sean",37,O,,,,,,,,,전학년,1학년,,,*생명과학 제1전공 수강불가
2024 학년도,2학기,대학,생명과학과,BIO1102,03,일반생물학II,조회,3.0,"화,목 10:30~11:45 [K403]",3.0,정광환,60,,,,,,,,,,전학년,1학년,,,*(생명전용반)생명과학 제1전공만 수강가능
2024 학년도,2학기,대학,생명과학과,BIO1106,01,일반생물학실험II,조회,1.0,월 13:30~16:15 [K213],3.0,"Lee, Hosuk Sean",12,O,,,,,,,,,전학년,1학년,,,
2024 학년도,2학기,대학,생명과학과,BIO1106,02,일반생물학실험II,조회,1.0,월 16:30~19:15 [K213],3.0,"Lee, Hosuk Sean",12,O,,,,,,,,,전학년,1학년,,,
2024 학년도,2학기,대학,생명과학과,BIO1106,03,일반생물학실험II,조회,1.0,화 13:30~16:15 [K213],3.0,정광환,12,,,,,,,,,,전학년,1학년,,,
2024 학년도,2학기,대학,생명과학과,BIO1106,04,일반생물학실험II,조회,1.0,화 16:30~19:15 [K213],3.0,이규호,12,,,,,,,,,,전학년,1학년,,,
2024 학년도,2학기,대학,생명과학과,BIO1106,05,일반생물학실험II,조회,1.0,수 13:30~16:15 [K213],3.0,주봉건,13,,,,,,,,,,전학년,1학년,,,
2024 학년도,2학기,대학,생명과학과,BIO1106,06,일반생물학실험II,조회,1.0,수 16:30~19:15 [K213],3.0,김종찬,12,,,,,,,,,,전학년,1학년,,,
2024 학년도,2학기,대학,생명과학과,BIO1106,07,일반생물학실험II,조회,1.0,목 13:30~16:15 [K213],3.0,허진영,10,,,,,,,,,,전학년,1학년,,,
