과목번호,과목명,학년도,학기,분반,강의계획서,요일,시작시간,종료시간,강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,수강대상,비고
MAT2210,고등미적분학I,2025 학년도,1학기,1,조회,"['화', '목']",15:00,16:15,RA410,3.0,이영란,56,,,,,,,"[1, 2, 3, 4]",
MAT2410,응용수학I,2025 학년도,1학기,1,조회,"['수', '금']",09:00,10:15,K201,3.0,이영록,87,,,,,"[2,4,6,8,0]",,"[1, 2, 3, 4]","""* 통계학입문(MAT3020)과 동등한 과목
* 컴퓨터공학, 인공지능학전공가능(짝수학번)
* 수학1전공 수강불가"""
MAT2510,푸리에해석및응용,2025 학년도,1학기,1,조회,"['월', '수']",12:00,13:15,RA406B,3.0,임경수,29,,,,,,,"[1, 2, 3, 4]",
MAT3020,통계학입문,2025 학년도,1학기,1,조회,"['월', '수']",10:30,11:45,RA406B,3.0,임경수,50,,,,,,,"[1, 2, 3, 4]","""* 응용수학I(MAT2410)과 동등한 과목임
* 컴퓨터공학, 인공지능학전공 수강불가"""
MAT3110,이산수학,2025 학년도,1학기,1,조회,"['월', '수']",16:30,17:45,K501,3.0,최승일,50,O,,,,,,"[1, 2, 3, 4]",
MAT3430,응용통계학및실습,2025 학년도,1학기,1,조회,"['화', '목']",12:00,13:15,RA205,3.0,임경필,20,,,,,,,"[1, 2, 3, 4]",
MAT3440,통신수학,2025 학년도,1학기,1,조회,"['화', '목']",10:30,11:45,RA308,3.0,김종락,13,,,,,,,"[1, 2, 3, 4]",
MAT4110,추상대수학I,2025 학년도,1학기,1,조회,"['월', '수']",10:30,11:45,RA308,3.0,오영탁,45,,,,,,,"[1, 2, 3, 4]",
MAT4210,복소수함수론I,2025 학년도,1학기,1,조회,"['화', '목']",12:00,13:15,K501,3.0,이재성,55,,,,,,,"[1, 2, 3, 4]",
MAT4310,미분기하학,2025 학년도,1학기,1,조회,"['화', '목']",13:30,14:45,RA410,3.0,김종수,49,,,,,,,"[1, 2, 3, 4]",
MAT4330,위상수학개론II,2025 학년도,1학기,1,조회,"['월', '수']",12:00,13:15,RA308,3.0,조장현,8,,,,,,,"[1, 2, 3, 4]",* (구) MATG320/(구) 위상수학특론의 대체과목
MATG210,실변수함수론,2025 학년도,1학기,1,조회,"['화', '목']",15:00,16:15,RA406B,3.0,이재성,26,,,,,,,"[1, 2, 3, 4]","""* 학부-대학원 연계과목
* (구) 실해석학I, 학석사연계과목"""
MATQ981,수학교과교육론,2025 학년도,1학기,1,조회,"['화', '목']",12:00,13:15,J112,3.0,김구연,3,,,,,,,"[1, 2, 3, 4]",* 교직(교직이수자만 전공학점으로 인정)
MEE1005,C프로그래밍기초,2025 학년도,1학기,1,조회,"['수', '금']",15:00,16:15,AS612,3.0,정석환,55,,,,,,,"[2, 3, 4]",기계제도실(AS612)
MEE2006,공학수학I,2025 학년도,1학기,1,조회,"['화', '목']",12:00,13:15,AS414,3.0,강성민,52,O,,,,"[1,3,5,7,9]",,"[2, 3, 4]",홀수학번
MEE2011,고체역학,2025 학년도,1학기,1,조회,"['화', '목']",13:30,14:45,AS301,3.0,정현용,42,,,,,"[1,3,5,7,9]",,"[2, 3, 4]",홀수학번
MEE2022,열역학I,2025 학년도,1학기,1,조회,"['월', '수']",12:00,13:15,K201,3.0,최은표,66,,,,,"[1,3,5,7,9]",,"[2, 3, 4]",홀수학번
MEE2025,기계제작실습,2025 학년도,1학기,1,조회,['월'],16:30,22:15,RA110A,6.0,김상엽,20,O,,,,,,"[2, 3, 4]",기계공작실(RA110A)
MEE2026,CAD,2025 학년도,1학기,1,조회,['화'],15:00,17:45,AS612,3.0,강성민,46,,,,,,,"[2, 3, 4]",기계제도실(AS612)
MEE3003,진동학,2025 학년도,1학기,1,조회,"['월', '수']",10:30,11:45,AS510,3.0,이승엽,73,,,,,,,"[3, 4]",
MEE3004,생산공정,2025 학년도,1학기,1,조회,"['화', '목']",10:30,11:45,RA204,3.0,김동철,88,O,,,,,,"[3, 4]",
MEE3013,자동제어,2025 학년도,1학기,1,조회,"['화', '목']",13:30,14:45,AS510,3.0,전도영,69,,,,,,,"[3, 4]",
MEE3032,열전달,2025 학년도,1학기,1,조회,"['월', '수']",09:00,10:15,K502,3.0,손기헌,83,,,,,,,"[3, 4]",
MEE3302,연구프로젝트Ⅱ,2025 학년도,1학기,1,조회,[],,,,3.0,이승엽,1,,,,,,,"[3, 4]",담당교수와 이메일로 상담하여 선 승인 후에 수강신청
MEE4002,냉동및공기조화,2025 학년도,1학기,1,조회,['월'],13:30,16:15,K307,3.0,정시영,53,,,,,,,"[3, 4]",
MEE4014,MEMS설계제작,2025 학년도,1학기,1,조회,"['화', '목']",12:00,13:15,AS412,3.0,정봉근,37,,,,,,,"[3, 4]",
MEE4021,창의적종합설계(캡스톤디자인),2025 학년도,1학기,1,조회,['금'],10:30,13:15,RA406A,3.0,김상엽,15,O,,,,"[1,3,5,7,9]",,[4],홀수학번
MEE4024,복합재료입문,2025 학년도,1학기,1,조회,"['수', '금']",13:30,14:45,RA204,3.0,김상엽,90,O,,,,,,"[3, 4]",
MEEG005,연속체역학,2025 학년도,1학기,1,조회,"['화', '목']",15:00,16:15,AS301,3.0,정현용,15,O,,,,,,"[3, 4]",
MEEG006,유한요소해석과 응용,2025 학년도,1학기,1,조회,"['화', '목']",10:30,11:45,AS612,3.0,정현용,7,,,,,,,"[3, 4]",기계제도실(AS612)
MEEG007,전산유체역학,2025 학년도,1학기,1,조회,"['월', '수']",12:00,13:15,K202,3.0,강성원,34,,,,,,,"[3, 4]",
MEEG008,고급제어I,2025 학년도,1학기,1,조회,"['화', '목']",09:00,10:15,K206,3.0,전도영,9,,,,,,,"[3, 4]",
MEEG041,바이오역학,2025 학년도,1학기,1,조회,"['월', '수']",12:00,13:15,K506,3.0,신충수,12,,,,,,,"[3, 4]",
MEEG052,고급열전달,2025 학년도,1학기,1,조회,"['월', '수']",10:30,11:45,AS612,3.0,손기헌,12,,,,,,,"[3, 4]",기계제도실(AS612)
MEEG114,메카노바이오공학,2025 학년도,1학기,1,조회,"['화', '목']",13:30,14:45,K506,3.0,정봉근,16,,,,,,,"[3, 4]",
MGT2002,경영통계학,2025 학년도,1학기,1,조회,[],,,,3.0,이군희,136,,,,,,,"[1, 2, 3, 4]","온라인 실시간강의 및 녹화강의(40%), 경영대학,공공인재연계전공,융합소프트웨어연계전공,빅데이터사이언스연계전공(가능)"
MGT2003,회계학원론,2025 학년도,1학기,1,조회,"['월', '수']",10:30,11:45,MA104,3.0,양준선,22,O,,O,,,,"[1, 2, 3, 4]",경영대학 신입생 전용과목(행정팀에서 일괄 수강신청)
MGT3001,조직행동이론,2025 학년도,1학기,1,조회,"['화', '목']",10:30,11:45,MA106,3.0,이인석,74,,,,,,,"[1, 2, 3, 4]","경영대학, 공공인재, 스타트업 연계전공(가능)"
MGT3002,경영정보시스템,2025 학년도,1학기,1,조회,"['월', '수']",10:30,11:45,PA203,3.0,김용진,33,O,,,,,,"[1, 2, 3, 4]","경영대학,스타트업연계전공(가능)"
MGT3003,운영관리,2025 학년도,1학기,1,조회,"['화', '목']",12:00,13:15,MA104,3.0,김길선,75,O,,,,,,"[1, 2, 3, 4]","경영대학, 스타트업연계전공(가능)"
MGT3004,재무관리,2025 학년도,1학기,1,조회,"['수', '금']",13:30,14:45,PA101,3.0,홍광헌,87,O,,,,,,"[1, 2, 3, 4]","경영대학,공공인재연계전공,스타트업연계전공(가능)"
MGT3005,관리회계,2025 학년도,1학기,1,조회,"['화', '목']",12:00,13:15,MA204,3.0,변상혁,92,,,,,,,"[1, 2, 3, 4]","경영대학,공공인재연계전공,스타트업연계전공(가능)"
MGT3006,마케팅원론,2025 학년도,1학기,1,조회,[],,,,3.0,정재학,144,,,,,,,"[1, 2, 3, 4]","온라인 실시간강의 및 녹화강의(40%),경영대학,스타트업연계전공(가능)"
MGT3007,국제경영론,2025 학년도,1학기,1,조회,"['월', '수']",16:30,17:45,MA102,3.0,이강표,77,,,,,,,"[1, 2, 3, 4]",경영대학(가능)
